current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.000,0.7652,-7.798e-05
2,-0.000,0.7833,-9.373e-05
3,-0.000,0.7963,-0.0001074
4,0.025,0.8074,-0.000122
5,0.025,0.8165,-0.0001352
6,0.025,0.8246,-0.0001488
7,-0.000,0.8321,-0.0001624
8,0.025,0.8387,-0.0001774
9,0.025,0.8450,-0.0001926
10,0.025,0.8509,-0.0002091
11,-0.000,0.8566,-0.0002275
12,0.049,0.8619,-0.0002473
13,0.025,0.8670,-0.0002689
14,0.074,0.8719,-0.0002939
15,0.074,0.8765,-0.0003225
16,0.074,0.8811,-0.0003648
17,0.344,0.8851,-0.0008566
18,0.664,0.8881,-0.001817
19,1.107,0.8911,-0.002868
20,1.500,0.8940,-0.003912
21,1.967,0.8969,-0.004911
22,2.336,0.8999,-0.005931
23,2.754,0.9028,-0.006932
24,3.074,0.9059,-0.006496
25,3.467,0.9088,-0.007424
26,3.935,0.9116,-0.008343
27,4.402,0.9142,-0.009278
28,4.820,0.9171,-0.01023
29,5.238,0.9199,-0.01114
30,5.582,0.9225,-0.01204
31,6.025,0.9253,-0.01294
32,6.468,0.9281,-0.01384
33,6.861,0.9308,-0.01473
34,7.255,0.9336,-0.01562
35,7.648,0.9363,-0.01651
36,8.042,0.9390,-0.01738
37,8.435,0.9417,-0.01828
38,8.804,0.9443,-0.01913
39,9.222,0.9471,-0.02001
40,9.665,0.9497,-0.02088
41,9.984,0.9523,-0.02175
42,10.403,0.9551,-0.02263
43,10.722,0.9577,-0.0235
44,11.140,0.9603,-0.02433
45,11.509,0.9629,-0.02521
46,11.952,0.9655,-0.02607
47,12.272,0.9681,-0.02688
48,12.616,0.9706,-0.02774
49,13.034,0.9732,-0.02856
50,13.403,0.9757,-0.02941
51,13.747,0.9783,-0.03027
52,14.116,0.9809,-0.03112
53,14.485,0.9834,-0.03194
54,14.829,0.9859,-0.03277
55,15.198,0.9885,-0.0336
56,15.592,0.9909,-0.03443
57,15.911,0.9934,-0.03525
58,16.280,0.9959,-0.03607
59,16.624,0.9983,-0.0369
60,16.993,1.0008,-0.03775
61,17.387,1.0033,-0.03859
62,17.756,1.0057,-0.03939
63,18.125,1.0082,-0.04023
64,18.420,1.0106,-0.04104
65,18.789,1.0130,-0.04188
66,19.158,1.0154,-0.0427
67,19.526,1.0178,-0.04352
68,19.846,1.0201,-0.0443
69,20.215,1.0225,-0.0451
70,20.608,1.0248,-0.04593
71,20.904,1.0271,-0.04673
72,21.322,1.0295,-0.0475
73,21.666,1.0318,-0.04829
74,21.961,1.0341,-0.0491
75,22.281,1.0364,-0.04987
76,22.625,1.0386,-0.05072
77,22.994,1.0409,-0.05149
78,23.314,1.0433,-0.05229
79,23.633,1.0455,-0.05302
80,23.978,1.0477,-0.05384
81,24.347,1.0500,-0.05462
82,24.666,1.0521,-0.05538
83,25.011,1.0543,-0.05614
84,25.306,1.0565,-0.05693
85,25.625,1.0587,-0.05769
86,25.994,1.0609,-0.05852
87,26.314,1.0632,-0.05928
88,26.634,1.0653,-0.06006
89,26.978,1.0675,-0.06081
90,27.298,1.0696,-0.06161
91,27.667,1.0717,-0.0624
92,27.962,1.0739,-0.0631
93,28.331,1.0760,-0.06388
94,28.650,1.0781,-0.06466
95,28.945,1.0802,-0.06537
96,29.314,1.0823,-0.06615
97,29.560,1.0844,-0.06686
98,29.929,1.0864,-0.06761
99,30.249,1.0885,-0.06836
100,30.519,1.0905,-0.06909
101,30.864,1.0925,-0.06983
102,31.257,1.0946,-0.07053
103,31.503,1.0966,-0.07127
104,31.847,1.0986,-0.07205
105,32.167,1.1007,-0.07278
106,32.438,1.1026,-0.07351
107,32.757,1.1047,-0.07425
108,33.028,1.1066,-0.07493
109,33.397,1.1086,-0.07568
110,33.692,1.1106,-0.07646
111,34.011,1.1125,-0.07711
112,34.282,1.1144,-0.07791
113,34.651,1.1164,-0.07864
114,34.897,1.1183,-0.07935
115,35.216,1.1202,-0.08002
116,35.561,1.1222,-0.08072
117,35.807,1.1240,-0.08142
118,36.151,1.1260,-0.0821
119,36.471,1.1279,-0.08284
120,36.741,1.1298,-0.08354
121,37.110,1.1317,-0.08414
122,37.356,1.1335,-0.0849
123,37.627,1.1354,-0.08556
124,37.946,1.1372,-0.08628
125,38.217,1.1391,-0.08696
126,38.512,1.1409,-0.08767
127,38.807,1.1428,-0.0884
128,39.176,1.1447,-0.08908
129,39.373,1.1465,-0.08975
130,39.717,1.1482,-0.09052
131,40.012,1.1501,-0.09116
132,40.307,1.1519,-0.09187
133,40.578,1.1537,-0.09253
134,40.848,1.1554,-0.09325
135,41.192,1.1572,-0.0939
136,41.438,1.1590,-0.09454
137,41.758,1.1608,-0.09518
138,42.078,1.1625,-0.09582
139,42.299,1.1642,-0.09644
