current[mA],power[mW],voltage[V],mpd_current[mA]
186,58.235,1.2574,-0.1405
187,58.456,1.2589,-0.1412
188,58.653,1.2605,-0.1417
189,58.997,1.2620,-0.1424
190,59.170,1.2636,-0.1431
191,59.514,1.2651,-0.1438
192,59.760,1.2667,-0.1445
193,60.030,1.2682,-0.145
194,60.276,1.2697,-0.1456
195,60.473,1.2712,-0.1463
196,60.768,1.2727,-0.1469
197,61.014,1.2743,-0.1476
198,61.285,1.2758,-0.1481
199,61.481,1.2772,-0.1487
200,61.752,1.2788,-0.1492
201,62.022,1.2803,-0.1497
202,62.268,1.2817,-0.1504
203,62.514,1.2833,-0.151
204,62.736,1.2847,-0.1517
205,63.006,1.2861,-0.1523
206,63.203,1.2876,-0.1528
207,63.498,1.2891,-0.1535
208,63.719,1.2905,-0.154
209,63.965,1.2920,-0.1547
210,64.186,1.2935,-0.1553
211,64.432,1.2949,-0.156
212,64.703,1.2963,-0.1565
213,64.924,1.2978,-0.1572
214,65.072,1.2992,-0.1577
215,65.416,1.3006,-0.1582
216,65.588,1.3020,-0.1589
217,65.859,1.3035,-0.1593
218,66.129,1.3049,-0.1598
219,66.375,1.3063,-0.1604
220,66.523,1.3077,-0.161
221,66.818,1.3091,-0.1615
222,66.990,1.3105,-0.162
223,67.236,1.3119,-0.1627
224,67.482,1.3134,-0.1633
225,67.728,1.3148,-0.1638
226,67.949,1.3161,-0.1644
227,68.195,1.3176,-0.1651
228,68.441,1.3189,-0.1657
229,68.613,1.3203,-0.1664
230,68.884,1.3217,-0.1668
231,69.056,1.3230,-0.1673
232,69.326,1.3244,-0.1678
233,69.597,1.3257,-0.1683
234,69.744,1.3271,-0.1688
235,69.990,1.3285,-0.1692
236,70.162,1.3298,-0.1698
237,70.384,1.3312,-0.1704
238,70.654,1.3325,-0.1709
239,70.826,1.3339,-0.1714
240,71.072,1.3352,-0.1721
241,71.343,1.3365,-0.1725
242,71.515,1.3379,-0.1732
243,71.663,1.3392,-0.1738
244,71.933,1.3406,-0.1743
245,72.154,1.3419,-0.1748
246,72.400,1.3432,-0.1753
247,72.548,1.3445,-0.1758
248,72.794,1.3458,-0.1763
249,72.941,1.3471,-0.1767
250,73.212,1.3484,-0.1772
251,73.384,1.3497,-0.1777
252,73.630,1.3510,-0.1781
253,73.827,1.3523,-0.1787
254,73.999,1.3536,-0.1792
255,74.220,1.3549,-0.1797
256,74.442,1.3562,-0.1803
257,74.589,1.3575,-0.1807
258,74.860,1.3587,-0.1812
259,75.032,1.3600,-0.1818
260,75.278,1.3613,-0.1824
261,75.474,1.3626,-0.1827
262,75.671,1.3638,-0.1834
263,75.868,1.3651,-0.1837
