current[mA],power[mW],voltage[V],mpd_current[mA]
186,51.202,1.2881,-0.1252
187,51.472,1.2895,-0.1257
188,51.669,1.2909,-0.1262
189,51.915,1.2923,-0.1268
190,52.112,1.2936,-0.1273
191,52.333,1.2950,-0.1277
192,52.530,1.2964,-0.1283
193,52.726,1.2977,-0.1286
194,53.021,1.2991,-0.1292
195,53.194,1.3005,-0.1296
196,53.366,1.3018,-0.1302
197,53.685,1.3031,-0.1306
198,53.858,1.3045,-0.131
199,54.054,1.3058,-0.1315
200,54.251,1.3071,-0.1321
201,54.472,1.3084,-0.1325
202,54.694,1.3097,-0.133
203,54.891,1.3110,-0.1335
204,55.087,1.3123,-0.134
205,55.333,1.3136,-0.1345
206,55.554,1.3149,-0.135
207,55.727,1.3162,-0.1354
208,55.874,1.3175,-0.1359
209,56.145,1.3188,-0.1364
210,56.391,1.3201,-0.1368
211,56.587,1.3213,-0.1373
212,56.710,1.3226,-0.1377
213,56.956,1.3239,-0.1381
214,57.128,1.3251,-0.1385
215,57.276,1.3264,-0.139
216,57.522,1.3276,-0.1394
217,57.719,1.3289,-0.1399
218,57.965,1.3301,-0.1403
219,58.161,1.3314,-0.1408
220,58.333,1.3326,-0.1413
221,58.506,1.3339,-0.1417
222,58.752,1.3351,-0.1422
223,58.924,1.3363,-0.1426
224,59.120,1.3375,-0.1431
225,59.317,1.3387,-0.1435
226,59.489,1.3399,-0.144
227,59.686,1.3412,-0.1444
228,59.932,1.3424,-0.1448
229,60.129,1.3436,-0.1452
230,60.276,1.3448,-0.1455
231,60.498,1.3460,-0.1459
232,60.645,1.3471,-0.1463
233,60.891,1.3483,-0.1467
234,61.088,1.3495,-0.1472
235,61.235,1.3507,-0.1475
236,61.432,1.3519,-0.148
237,61.629,1.3531,-0.1484
238,61.752,1.3542,-0.1488
239,61.899,1.3554,-0.1492
240,62.145,1.3565,-0.1499
241,62.342,1.3577,-0.1502
242,62.490,1.3589,-0.1505
243,62.711,1.3600,-0.151
244,62.908,1.3612,-0.1514
245,63.055,1.3623,-0.1516
246,63.203,1.3635,-0.152
247,63.424,1.3646,-0.1524
248,63.670,1.3658,-0.1527
249,63.842,1.3669,-0.1531
250,64.039,1.3680,-0.1535
251,64.186,1.3692,-0.1539
252,64.334,1.3703,-0.1542
253,64.555,1.3714,-0.1547
254,64.703,1.3725,-0.1552
255,64.875,1.3736,-0.1555
