current[mA],power[mW],voltage[V],mpd_current[mA]
186,53.513,1.2232,-0.1672
187,53.735,1.2245,-0.1678
188,53.931,1.2258,-0.1685
189,54.128,1.2271,-0.1692
190,54.399,1.2284,-0.1699
191,54.595,1.2296,-0.1704
192,54.817,1.2309,-0.1711
193,55.038,1.2322,-0.1718
194,55.235,1.2335,-0.1726
195,55.530,1.2348,-0.1732
196,55.677,1.2360,-0.174
197,55.948,1.2373,-0.1746
198,56.145,1.2386,-0.1754
199,56.317,1.2398,-0.176
200,56.538,1.2410,-0.1766
201,56.809,1.2423,-0.1773
202,56.956,1.2435,-0.178
203,57.202,1.2447,-0.1786
204,57.350,1.2460,-0.1792
205,57.620,1.2471,-0.1799
206,57.866,1.2484,-0.1806
207,58.088,1.2496,-0.1812
208,58.235,1.2508,-0.1817
209,58.506,1.2521,-0.1824
210,58.678,1.2533,-0.1829
211,58.875,1.2545,-0.1836
212,59.120,1.2557,-0.1842
213,59.342,1.2569,-0.1848
214,59.514,1.2581,-0.1854
215,59.735,1.2593,-0.1861
216,59.981,1.2605,-0.1868
217,60.129,1.2616,-0.1874
218,60.325,1.2628,-0.188
219,60.498,1.2640,-0.1886
220,60.744,1.2651,-0.1892
221,60.989,1.2663,-0.1898
222,61.137,1.2675,-0.1906
223,61.334,1.2687,-0.1912
224,61.530,1.2698,-0.1917
225,61.752,1.2710,-0.1923
226,61.973,1.2722,-0.1928
227,62.145,1.2733,-0.1934
228,62.342,1.2744,-0.1939
229,62.539,1.2756,-0.1945
230,62.736,1.2768,-0.1951
231,62.883,1.2779,-0.1957
232,63.104,1.2791,-0.1963
233,63.301,1.2802,-0.1968
234,63.498,1.2813,-0.1974
235,63.695,1.2824,-0.198
236,63.867,1.2835,-0.1987
237,64.064,1.2847,-0.1992
238,64.236,1.2858,-0.1998
239,64.408,1.2869,-0.2004
240,64.678,1.2880,-0.2009
241,64.850,1.2891,-0.2016
242,64.998,1.2902,-0.202
243,65.170,1.2913,-0.2025
244,65.392,1.2924,-0.2031
245,65.514,1.2935,-0.2037
246,65.711,1.2945,-0.2041
247,65.908,1.2957,-0.2045
248,66.178,1.2967,-0.2051
249,66.301,1.2978,-0.2057
250,66.474,1.2990,-0.2062
251,66.670,1.3000,-0.2068
252,66.842,1.3011,-0.2073
253,67.039,1.3021,-0.208
254,67.187,1.3032,-0.2085
255,67.384,1.3043,-0.2091
256,67.580,1.3054,-0.2096
257,67.728,1.3064,-0.2102
258,67.925,1.3075,-0.2106
259,68.146,1.3086,-0.2112
260,68.269,1.3096,-0.2118
261,68.441,1.3106,-0.2122
262,68.662,1.3117,-0.2126
263,68.761,1.3127,-0.2132
264,68.982,1.3138,-0.2136
265,69.105,1.3148,-0.214
266,69.302,1.3158,-0.2146
267,69.474,1.3169,-0.2151
268,69.621,1.3179,-0.2156
269,69.794,1.3190,-0.2162
270,70.015,1.3200,-0.2166
271,70.212,1.3211,-0.2172
272,70.335,1.3220,-0.2176
273,70.507,1.3231,-0.2183
274,70.679,1.3241,-0.2186
275,70.851,1.3251,-0.2193
276,70.974,1.3261,-0.2198
277,71.195,1.3271,-0.2202
278,71.318,1.3281,-0.2207
279,71.441,1.3291,-0.2211
280,71.687,1.3301,-0.2215
281,71.810,1.3312,-0.222
282,72.007,1.3321,-0.2224
283,72.130,1.3332,-0.2229
284,72.327,1.3341,-0.2233
285,72.499,1.3351,-0.2239
286,72.622,1.3361,-0.2242
287,72.745,1.3371,-0.2247
288,72.941,1.3381,-0.2253
289,73.089,1.3391,-0.2257
290,73.286,1.3400,-0.2261
291,73.482,1.3410,-0.2266
292,73.630,1.3420,-0.2271
293,73.728,1.3430,-0.2275
294,73.901,1.3439,-0.228
295,74.073,1.3449,-0.2283
296,74.196,1.3459,-0.2289
297,74.368,1.3469,-0.2293
298,74.466,1.3478,-0.2297
299,74.688,1.3488,-0.2301
300,74.835,1.3497,-0.2307
301,75.007,1.3507,-0.2309
302,75.130,1.3516,-0.2314
303,75.204,1.3526,-0.2319
304,75.425,1.3536,-0.2322
305,75.622,1.3545,-0.2327
306,75.745,1.3555,-0.2333
307,75.868,1.3564,-0.2334
308,75.991,1.3574,-0.2339
309,76.163,1.3583,-0.2344
310,76.335,1.3592,-0.2348
311,76.507,1.3602,-0.2352
312,76.557,1.3611,-0.2358
313,76.753,1.3620,-0.236
314,76.901,1.3630,-0.2364
315,77.073,1.3639,-0.237
316,77.196,1.3648,-0.2372
317,77.319,1.3657,-0.2378
318,77.466,1.3667,-0.2382
319,77.565,1.3676,-0.2384
320,77.762,1.3685,-0.2389
321,77.835,1.3694,-0.2392
322,78.057,1.3703,-0.2396
323,78.204,1.3712,-0.2401
324,78.327,1.3721,-0.2404
325,78.450,1.3730,-0.2408
326,78.598,1.3740,-0.2413
327,78.745,1.3748,-0.2416
328,78.893,1.3757,-0.2419
329,78.967,1.3766,-0.2424
330,79.114,1.3775,-0.2427
331,79.311,1.3784,-0.2431
332,79.434,1.3793,-0.2435
333,79.532,1.3802,-0.2438
334,79.655,1.3811,-0.2442
335,79.827,1.3820,-0.2446
336,79.999,1.3829,-0.2447
337,80.073,1.3838,-0.2454
338,80.221,1.3846,-0.2457
339,80.344,1.3855,-0.246
340,80.442,1.3864,-0.2464
341,80.590,1.3873,-0.2468
342,80.737,1.3882,-0.2471
343,80.860,1.3890,-0.2474
344,81.008,1.3899,-0.2478
345,81.106,1.3908,-0.2481
346,81.278,1.3916,-0.2485
347,81.377,1.3925,-0.2489
348,81.426,1.3934,-0.2494
349,81.598,1.3942,-0.2496
350,81.746,1.3951,-0.2499
351,81.844,1.3960,-0.2505
352,81.991,1.3968,-0.2507
353,82.139,1.3977,-0.2509
354,82.311,1.3985,-0.2513
355,82.336,1.3994,-0.2516
356,82.483,1.4002,-0.2519
357,82.631,1.4011,-0.2523
358,82.729,1.4019,-0.2527
359,82.901,1.4028,-0.2529
360,83.000,1.4036,-0.2532
361,83.123,1.4045,-0.2536
362,83.221,1.4053,-0.2539
363,83.393,1.4062,-0.2542
364,83.442,1.4070,-0.2546
365,83.590,1.4078,-0.2548
366,83.688,1.4087,-0.2552
367,83.811,1.4095,-0.2555
368,83.959,1.4103,-0.2559
369,84.057,1.4112,-0.2561
370,84.156,1.4120,-0.2564
371,84.279,1.4128,-0.2568
