current[mA],power[mW],voltage[V],mpd_current[mA]
187,55.161,1.2421,-0.1677
188,55.407,1.2435,-0.1683
189,55.653,1.2449,-0.1691
190,55.825,1.2462,-0.1697
191,56.120,1.2475,-0.1704
192,56.341,1.2489,-0.1712
193,56.563,1.2502,-0.1719
194,56.735,1.2515,-0.1725
195,57.030,1.2529,-0.1733
196,57.227,1.2542,-0.174
197,57.473,1.2555,-0.1746
198,57.669,1.2569,-0.1752
199,57.915,1.2582,-0.176
200,58.137,1.2595,-0.1766
201,58.358,1.2608,-0.1771
202,58.555,1.2621,-0.1777
203,58.801,1.2634,-0.1784
204,58.997,1.2647,-0.179
205,59.170,1.2659,-0.1796
206,59.465,1.2672,-0.1802
207,59.686,1.2685,-0.1809
208,59.784,1.2698,-0.1816
209,60.080,1.2710,-0.1822
210,60.301,1.2723,-0.1827
211,60.498,1.2735,-0.1834
212,60.670,1.2748,-0.1842
213,60.916,1.2761,-0.1848
214,61.112,1.2773,-0.1855
215,61.334,1.2786,-0.1861
216,61.506,1.2798,-0.1868
217,61.752,1.2810,-0.1873
218,61.899,1.2822,-0.188
219,62.096,1.2834,-0.1886
220,62.367,1.2847,-0.1892
221,62.539,1.2859,-0.1898
222,62.736,1.2871,-0.1901
223,62.908,1.2884,-0.1908
224,63.203,1.2896,-0.1914
225,63.326,1.2908,-0.192
226,63.522,1.2920,-0.1925
227,63.793,1.2932,-0.1931
228,63.990,1.2944,-0.1937
229,64.137,1.2956,-0.1942
230,64.383,1.2968,-0.1948
231,64.580,1.2980,-0.1955
232,64.752,1.2992,-0.1961
233,64.949,1.3003,-0.1967
234,65.195,1.3015,-0.1973
235,65.342,1.3027,-0.198
236,65.539,1.3039,-0.1984
237,65.760,1.3050,-0.1991
238,65.883,1.3061,-0.1996
239,66.129,1.3073,-0.2002
240,66.326,1.3085,-0.2006
241,66.449,1.3096,-0.2013
242,66.695,1.3108,-0.2018
243,66.842,1.3119,-0.2023
244,67.039,1.3131,-0.2027
245,67.236,1.3142,-0.2033
246,67.408,1.3153,-0.2039
247,67.629,1.3165,-0.2043
248,67.802,1.3176,-0.2049
249,68.023,1.3187,-0.2055
250,68.097,1.3199,-0.2061
251,68.367,1.3209,-0.2066
252,68.490,1.3221,-0.2073
253,68.712,1.3232,-0.2078
254,68.859,1.3243,-0.2083
255,69.080,1.3254,-0.2088
256,69.203,1.3265,-0.2094
257,69.449,1.3276,-0.21
258,69.621,1.3287,-0.2104
259,69.794,1.3298,-0.2109
260,69.966,1.3309,-0.2113
261,70.187,1.3320,-0.2119
262,70.359,1.3331,-0.2122
263,70.507,1.3341,-0.2127
264,70.630,1.3352,-0.2132
265,70.802,1.3363,-0.2137
266,70.974,1.3373,-0.2142
267,71.220,1.3384,-0.2147
268,71.368,1.3395,-0.2153
269,71.515,1.3406,-0.2158
270,71.736,1.3416,-0.2162
271,71.909,1.3427,-0.2168
272,72.032,1.3437,-0.2175
273,72.228,1.3448,-0.2179
274,72.400,1.3459,-0.2183
275,72.548,1.3469,-0.2189
276,72.745,1.3480,-0.2193
277,72.868,1.3490,-0.2197
278,73.089,1.3501,-0.2203
279,73.261,1.3511,-0.2206
280,73.409,1.3522,-0.2211
281,73.556,1.3532,-0.2215
282,73.679,1.3542,-0.222
283,73.851,1.3552,-0.2224
284,74.024,1.3563,-0.2228
285,74.196,1.3573,-0.2233
286,74.368,1.3583,-0.2237
287,74.540,1.3594,-0.2243
288,74.688,1.3603,-0.2247
289,74.835,1.3614,-0.2252
290,75.032,1.3624,-0.2258
291,75.204,1.3634,-0.2263
292,75.278,1.3644,-0.2268
293,75.450,1.3654,-0.2272
294,75.647,1.3664,-0.2276
295,75.770,1.3674,-0.228
296,75.942,1.3684,-0.2285
297,76.114,1.3695,-0.2288
298,76.212,1.3704,-0.2292
299,76.409,1.3714,-0.2296
300,76.581,1.3724,-0.23
301,76.680,1.3734,-0.2306
302,76.852,1.3743,-0.2309
303,76.999,1.3753,-0.2312
304,77.147,1.3763,-0.2317
305,77.294,1.3773,-0.2322
306,77.393,1.3783,-0.2328
307,77.639,1.3793,-0.2332
308,77.712,1.3802,-0.2336
309,77.909,1.3812,-0.2341
310,78.106,1.3821,-0.2346
311,78.180,1.3831,-0.2349
312,78.352,1.3841,-0.2354
313,78.499,1.3850,-0.2358
314,78.573,1.3860,-0.236
315,78.794,1.3869,-0.2364
316,78.893,1.3879,-0.2368
317,79.065,1.3888,-0.2371
318,79.163,1.3898,-0.2375
319,79.360,1.3907,-0.2378
320,79.409,1.3917,-0.2384
321,79.631,1.3926,-0.2386
322,79.778,1.3935,-0.2392
323,79.877,1.3945,-0.2396
324,80.024,1.3954,-0.24
325,80.196,1.3964,-0.2406
326,80.319,1.3973,-0.2411
327,80.442,1.3982,-0.2414
328,80.639,1.3991,-0.2417
329,80.688,1.4001,-0.2422
330,80.860,1.4010,-0.2426
331,81.008,1.4019,-0.2429
332,81.131,1.4028,-0.2433
333,81.254,1.4037,-0.2435
334,81.401,1.4047,-0.2439
335,81.500,1.4056,-0.2441
336,81.623,1.4065,-0.2445
337,81.770,1.4074,-0.2449
338,81.967,1.4083,-0.2453
339,82.065,1.4092,-0.2456
340,82.164,1.4101,-0.2461
341,82.262,1.4110,-0.2464
342,82.385,1.4119,-0.2469
343,82.557,1.4128,-0.2473
344,82.705,1.4137,-0.2475
345,82.828,1.4146,-0.248
346,82.951,1.4155,-0.2484
347,83.074,1.4164,-0.2487
348,83.197,1.4172,-0.2489
349,83.320,1.4181,-0.2494
350,83.393,1.4190,-0.2497
351,83.590,1.4199,-0.25
352,83.713,1.4207,-0.2502
353,83.836,1.4217,-0.2506
354,83.910,1.4225,-0.2511
355,84.106,1.4234,-0.2514
356,84.205,1.4243,-0.2517
357,84.303,1.4251,-0.2521
358,84.451,1.4260,-0.2525
359,84.475,1.4269,-0.2529
360,84.647,1.4277,-0.2533
361,84.795,1.4286,-0.2535
362,84.893,1.4295,-0.2539
363,85.090,1.4303,-0.2542
364,85.164,1.4312,-0.2545
365,85.238,1.4320,-0.2547
366,85.385,1.4329,-0.255
367,85.434,1.4338,-0.2552
368,85.582,1.4346,-0.2555
369,85.680,1.4354,-0.2559
370,85.853,1.4363,-0.2561
371,85.951,1.4371,-0.2564
372,86.000,1.4380,-0.2569
373,86.148,1.4388,-0.2571
374,86.271,1.4397,-0.2575
375,86.418,1.4405,-0.258
376,86.492,1.4413,-0.258
377,86.615,1.4422,-0.2583
378,86.713,1.4430,-0.2587
379,86.812,1.4438,-0.259
380,86.910,1.4447,-0.2593
381,87.033,1.4455,-0.2595
382,87.156,1.4463,-0.2597
383,87.279,1.4471,-0.2602
384,87.353,1.4480,-0.2603
385,87.451,1.4488,-0.2606
386,87.549,1.4496,-0.261
387,87.672,1.4504,-0.2613
388,87.820,1.4512,-0.2616
389,87.943,1.4521,-0.2619
390,88.017,1.4529,-0.2622
391,88.140,1.4537,-0.2625
392,88.213,1.4545,-0.2627
393,88.336,1.4553,-0.2629
394,88.435,1.4561,-0.2633
395,88.582,1.4569,-0.2636
396,88.607,1.4577,-0.2639
397,88.681,1.4585,-0.264
398,88.804,1.4593,-0.2644
399,88.951,1.4601,-0.2646
400,89.074,1.4609,-0.2648
401,89.074,1.4617,-0.2651
402,89.222,1.4625,-0.2655
403,89.369,1.4633,-0.2656
404,89.394,1.4641,-0.2658
405,89.541,1.4648,-0.2663
406,89.591,1.4656,-0.2665
407,89.664,1.4664,-0.2666
408,89.787,1.4672,-0.267
409,89.935,1.4680,-0.2672
410,90.009,1.4688,-0.2675
411,90.132,1.4695,-0.2678
412,90.181,1.4703,-0.2679
413,90.255,1.4711,-0.2683
414,90.353,1.4719,-0.2686
415,90.451,1.4726,-0.2688
416,90.574,1.4734,-0.2689
417,90.599,1.4742,-0.2691
418,90.746,1.4749,-0.2694
419,90.845,1.4757,-0.2697
420,90.919,1.4765,-0.2699
421,91.042,1.4772,-0.27
422,91.115,1.4780,-0.2704
423,91.189,1.4788,-0.2706
424,91.312,1.4795,-0.2709
425,91.337,1.4803,-0.271
426,91.460,1.4810,-0.2715
427,91.583,1.4818,-0.2717
428,91.632,1.4826,-0.2718
429,91.706,1.4833,-0.272
430,91.730,1.4840,-0.2724
431,91.853,1.4848,-0.2725
432,91.951,1.4855,-0.2727
433,92.025,1.4863,-0.2729
434,92.099,1.4870,-0.2732
435,92.173,1.4877,-0.2732
436,92.296,1.4885,-0.2735
437,92.394,1.4892,-0.2736
438,92.419,1.4900,-0.2739
439,92.542,1.4907,-0.2741
440,92.566,1.4914,-0.2743
441,92.689,1.4922,-0.2747
442,92.763,1.4929,-0.2749
443,92.861,1.4936,-0.2749
444,92.935,1.4943,-0.2753
445,93.009,1.4951,-0.2753
446,93.083,1.4958,-0.2756
447,93.206,1.4965,-0.2759
448,93.206,1.4972,-0.276
449,93.378,1.4980,-0.2762
450,93.402,1.4987,-0.2764
451,93.452,1.4994,-0.2766
452,93.476,1.5001,-0.2767
453,93.599,1.5008,-0.2769
454,93.673,1.5015,-0.2771
455,93.771,1.5023,-0.2773
456,93.821,1.5030,-0.2775
457,93.894,1.5037,-0.2776
458,93.993,1.5044,-0.278
459,94.017,1.5051,-0.2781
460,94.091,1.5058,-0.2783
461,94.239,1.5065,-0.2785
462,94.263,1.5072,-0.2785
463,94.362,1.5079,-0.2789
464,94.411,1.5086,-0.2789
465,94.509,1.5093,-0.279
466,94.632,1.5100,-0.2794
467,94.607,1.5107,-0.2795
468,94.681,1.5114,-0.2796
469,94.804,1.5121,-0.2799
470,94.804,1.5128,-0.2799
471,94.903,1.5135,-0.2801
472,94.976,1.5142,-0.2804
473,95.026,1.5149,-0.2805
474,95.026,1.5155,-0.2807
475,95.173,1.5163,-0.2807
476,95.222,1.5169,-0.2811
477,95.247,1.5176,-0.2811
478,95.370,1.5183,-0.2813
479,95.394,1.5189,-0.2815
480,95.493,1.5196,-0.2816
481,95.517,1.5203,-0.2817
482,95.567,1.5210,-0.2819
483,95.690,1.5216,-0.2821
484,95.714,1.5223,-0.2821
485,95.763,1.5230,-0.2823
486,95.862,1.5237,-0.2825
487,95.886,1.5243,-0.2825
488,95.960,1.5250,-0.2828
489,96.009,1.5257,-0.283
490,96.058,1.5263,-0.283
491,96.206,1.5270,-0.2832
492,96.157,1.5277,-0.2833
493,96.255,1.5283,-0.2834
494,96.329,1.5290,-0.2836
495,96.378,1.5296,-0.2837
496,96.477,1.5303,-0.2838
497,96.550,1.5310,-0.284
498,96.550,1.5316,-0.2842
499,96.599,1.5322,-0.2844
500,96.575,1.5329,-0.2845
