current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.000,0.7607,-6.641e-05
2,-0.025,0.7799,-8.037e-05
3,-0.000,0.7928,-9.304e-05
4,-0.000,0.8036,-0.0001047
5,-0.000,0.8129,-0.0001179
6,0.025,0.8211,-0.0001304
7,-0.000,0.8286,-0.0001436
8,-0.000,0.8356,-0.0001575
9,0.025,0.8416,-0.0001724
10,0.025,0.8475,-0.0001889
11,0.049,0.8531,-0.0002349
12,0.320,0.8568,-0.001228
13,0.689,0.8602,-0.002591
14,1.082,0.8634,-0.003918
15,1.500,0.8664,-0.005213
16,1.820,0.8696,-0.006555
17,2.213,0.8727,-0.007857
18,2.582,0.8757,-0.009141
19,3.025,0.8788,-0.01052
20,3.295,0.8819,-0.01181
21,3.738,0.8849,-0.01312
22,4.107,0.8879,-0.01442
23,4.550,0.8909,-0.01572
24,4.894,0.8938,-0.01699
25,5.263,0.8967,-0.01827
26,5.681,0.8997,-0.01961
27,6.025,0.9027,-0.02088
28,6.394,0.9056,-0.0222
29,6.763,0.9086,-0.02349
30,7.156,0.9114,-0.02477
31,7.574,0.9143,-0.02604
32,7.894,0.9171,-0.02735
33,8.312,0.9199,-0.02862
34,8.656,0.9228,-0.02988
35,9.075,0.9255,-0.03115
36,9.419,0.9283,-0.03239
37,9.788,0.9311,-0.03368
38,10.157,0.9338,-0.0349
39,10.550,0.9365,-0.03615
40,10.845,0.9392,-0.03741
41,11.214,0.9419,-0.03865
42,11.657,0.9447,-0.0399
43,12.001,0.9474,-0.04119
44,12.395,0.9500,-0.04239
45,12.739,0.9527,-0.04366
46,13.108,0.9554,-0.04483
47,13.452,0.9580,-0.04603
48,13.821,0.9606,-0.04733
49,14.214,0.9632,-0.04856
50,14.559,0.9658,-0.04975
51,14.928,0.9684,-0.05093
52,15.272,0.9710,-0.05215
53,15.641,0.9735,-0.05332
54,16.034,0.9761,-0.05456
55,16.354,0.9785,-0.05579
56,16.723,0.9810,-0.05699
57,17.166,0.9836,-0.05814
58,17.461,0.9861,-0.05939
59,17.805,0.9886,-0.06057
60,18.174,0.9911,-0.0618
61,18.518,0.9935,-0.06299
62,18.887,0.9959,-0.06412
63,19.231,0.9983,-0.06529
64,19.526,1.0009,-0.06651
65,19.920,1.0033,-0.06768
66,20.240,1.0057,-0.06893
67,20.658,1.0082,-0.07004
68,21.002,1.0105,-0.07119
69,21.297,1.0129,-0.07235
70,21.691,1.0153,-0.07355
71,22.010,1.0175,-0.07462
72,22.355,1.0199,-0.07579
73,22.723,1.0222,-0.07694
74,23.043,1.0245,-0.07804
75,23.412,1.0269,-0.0792
76,23.756,1.0292,-0.08035
77,24.051,1.0315,-0.08152
78,24.445,1.0338,-0.0826
79,24.765,1.0360,-0.08369
80,25.109,1.0383,-0.08486
81,25.478,1.0406,-0.08603
82,25.773,1.0428,-0.08715
83,26.166,1.0450,-0.08822
84,26.412,1.0473,-0.08936
85,26.806,1.0494,-0.09047
86,27.175,1.0517,-0.09162
87,27.519,1.0539,-0.09273
88,27.814,1.0560,-0.09381
89,28.134,1.0582,-0.09495
90,28.527,1.0604,-0.09602
91,28.798,1.0626,-0.09714
92,29.142,1.0647,-0.09824
93,29.486,1.0669,-0.09931
94,29.806,1.0690,-0.1004
95,30.150,1.0711,-0.1015
96,30.445,1.0733,-0.1025
97,30.765,1.0753,-0.1036
98,31.109,1.0774,-0.1046
99,31.429,1.0795,-0.1057
100,31.724,1.0816,-0.1067
101,32.093,1.0836,-0.1078
102,32.413,1.0857,-0.1089
103,32.683,1.0877,-0.1099
104,33.052,1.0898,-0.111
105,33.372,1.0919,-0.1121
106,33.692,1.0938,-0.1131
107,34.036,1.0959,-0.1142
108,34.356,1.0978,-0.1152
109,34.651,1.0999,-0.1162
110,34.971,1.1019,-0.1174
111,35.315,1.1038,-0.1183
112,35.585,1.1058,-0.1193
113,35.905,1.1078,-0.1204
114,36.225,1.1097,-0.1214
115,36.520,1.1117,-0.1224
116,36.889,1.1137,-0.1234
117,37.110,1.1156,-0.1244
118,37.479,1.1175,-0.1254
119,37.749,1.1195,-0.1263
120,38.045,1.1214,-0.1274
121,38.389,1.1233,-0.1283
122,38.709,1.1252,-0.1293
123,39.004,1.1271,-0.1303
124,39.348,1.1289,-0.1313
125,39.569,1.1308,-0.1323
126,39.889,1.1326,-0.1333
127,40.184,1.1345,-0.1343
128,40.504,1.1364,-0.1354
129,40.799,1.1382,-0.1363
130,41.119,1.1401,-0.1374
131,41.414,1.1420,-0.1383
132,41.733,1.1438,-0.1393
133,41.979,1.1456,-0.1402
134,42.324,1.1475,-0.1412
135,42.619,1.1492,-0.1421
136,42.889,1.1510,-0.1431
137,43.160,1.1529,-0.144
138,43.480,1.1547,-0.1448
139,43.799,1.1564,-0.1458
140,44.070,1.1582,-0.1468
141,44.389,1.1600,-0.1477
142,44.685,1.1618,-0.1486
143,44.906,1.1635,-0.1495
144,45.324,1.1653,-0.1505
145,45.545,1.1670,-0.1515
146,45.791,1.1688,-0.1524
147,46.111,1.1705,-0.1535
148,46.381,1.1723,-0.1544
149,46.701,1.1740,-0.1553
150,46.947,1.1756,-0.1561
151,47.218,1.1774,-0.1571
152,47.439,1.1790,-0.1581
153,47.832,1.1808,-0.1588
154,48.078,1.1825,-0.1598
155,48.349,1.1842,-0.1605
156,48.619,1.1859,-0.1614
157,48.939,1.1875,-0.1624
158,49.210,1.1891,-0.1631
159,49.505,1.1908,-0.164
160,49.800,1.1925,-0.1649
161,49.997,1.1941,-0.1659
162,50.316,1.1958,-0.1667
163,50.587,1.1974,-0.1676
164,50.857,1.1990,-0.1686
165,51.202,1.2007,-0.1695
166,51.448,1.2023,-0.1704
167,51.644,1.2039,-0.1713
168,51.964,1.2056,-0.1722
169,52.185,1.2072,-0.173
170,52.480,1.2088,-0.1738
171,52.751,1.2104,-0.1747
172,53.046,1.2120,-0.1754
173,53.341,1.2136,-0.1762
174,53.562,1.2151,-0.1771
175,53.858,1.2167,-0.178
176,54.030,1.2183,-0.1787
177,54.325,1.2199,-0.1796
178,54.645,1.2215,-0.1804
179,54.891,1.2230,-0.1813
180,55.136,1.2246,-0.1821
181,55.358,1.2261,-0.183
182,55.628,1.2276,-0.184
183,55.948,1.2292,-0.1846
184,56.194,1.2307,-0.1856
185,56.415,1.2323,-0.1864
186,56.735,1.2338,-0.1872
187,56.883,1.2353,-0.1879
188,57.202,1.2368,-0.1887
189,57.448,1.2384,-0.1895
190,57.694,1.2399,-0.1902
191,57.915,1.2414,-0.191
192,58.210,1.2429,-0.1918
193,58.432,1.2443,-0.1926
194,58.702,1.2458,-0.1934
195,58.997,1.2473,-0.1942
196,59.194,1.2488,-0.1951
197,59.440,1.2503,-0.1958
198,59.661,1.2518,-0.1966
199,59.981,1.2532,-0.1974
200,60.178,1.2547,-0.1982
201,60.399,1.2561,-0.199
202,60.670,1.2576,-0.1997
203,60.891,1.2591,-0.2006
204,61.112,1.2605,-0.2013
205,61.408,1.2619,-0.202
206,61.629,1.2634,-0.2027
207,61.899,1.2648,-0.2034
208,62.145,1.2663,-0.2042
209,62.391,1.2677,-0.2049
210,62.637,1.2691,-0.2057
211,62.858,1.2706,-0.2063
212,63.080,1.2719,-0.2071
213,63.350,1.2734,-0.2081
214,63.572,1.2748,-0.2086
215,63.818,1.2762,-0.2095
216,64.014,1.2776,-0.2102
217,64.260,1.2790,-0.211
218,64.506,1.2804,-0.2117
219,64.678,1.2817,-0.2124
220,64.924,1.2832,-0.2131
221,65.195,1.2846,-0.2139
222,65.465,1.2859,-0.2146
223,65.637,1.2873,-0.2153
224,65.883,1.2887,-0.2161
225,66.080,1.2900,-0.2165
226,66.326,1.2914,-0.2173
227,66.572,1.2928,-0.2182
228,66.793,1.2941,-0.2186
229,67.039,1.2955,-0.2195
230,67.211,1.2968,-0.2202
231,67.457,1.2981,-0.2208
232,67.679,1.2996,-0.2217
233,67.949,1.3009,-0.2224
234,68.121,1.3022,-0.2229
235,68.343,1.3035,-0.2237
236,68.589,1.3049,-0.2243
237,68.736,1.3062,-0.225
238,69.007,1.3075,-0.2257
239,69.253,1.3088,-0.2262
240,69.425,1.3101,-0.2271
241,69.621,1.3115,-0.2277
242,69.917,1.3128,-0.2283
243,70.113,1.3141,-0.229
244,70.384,1.3154,-0.2297
245,70.581,1.3167,-0.2303
246,70.728,1.3180,-0.2312
247,70.999,1.3193,-0.2316
248,71.195,1.3206,-0.2324
249,71.368,1.3219,-0.233
250,71.564,1.3232,-0.2337
251,71.835,1.3244,-0.2342
252,71.982,1.3258,-0.2349
253,72.204,1.3270,-0.2357
254,72.400,1.3283,-0.2363
255,72.597,1.3296,-0.2369
256,72.818,1.3309,-0.2375
257,72.991,1.3321,-0.2381
258,73.237,1.3334,-0.2389
259,73.360,1.3346,-0.2395
260,73.655,1.3358,-0.24
261,73.876,1.3371,-0.2407
262,74.073,1.3384,-0.2412
263,74.220,1.3396,-0.2419
264,74.392,1.3409,-0.2427
265,74.688,1.3421,-0.2431
266,74.860,1.3433,-0.2438
267,75.007,1.3446,-0.2444
268,75.253,1.3458,-0.245
269,75.450,1.3470,-0.2456
270,75.671,1.3482,-0.2463
271,75.868,1.3495,-0.247
272,76.016,1.3507,-0.2475
273,76.286,1.3519,-0.2481
274,76.409,1.3531,-0.2487
275,76.655,1.3543,-0.2492
276,76.802,1.3556,-0.2497
277,76.999,1.3567,-0.2505
278,77.147,1.3579,-0.2509
279,77.417,1.3592,-0.2514
280,77.540,1.3604,-0.252
281,77.712,1.3615,-0.2527
282,77.934,1.3627,-0.2532
283,78.130,1.3639,-0.2538
284,78.278,1.3651,-0.2545
285,78.499,1.3663,-0.2551
286,78.622,1.3675,-0.2558
287,78.868,1.3687,-0.2562
288,79.040,1.3699,-0.2568
289,79.262,1.3710,-0.2573
290,79.335,1.3722,-0.2577
291,79.606,1.3734,-0.2584
292,79.778,1.3745,-0.2588
293,79.999,1.3757,-0.2594
294,80.122,1.3769,-0.2598
295,80.319,1.3780,-0.2604
296,80.467,1.3792,-0.261
297,80.663,1.3804,-0.2617
298,80.811,1.3815,-0.2623
299,81.032,1.3827,-0.2628
300,81.205,1.3838,-0.2633
301,81.377,1.3849,-0.2638
302,81.549,1.3861,-0.2644
303,81.672,1.3873,-0.2649
304,81.869,1.3884,-0.2653
305,82.114,1.3896,-0.2658
306,82.287,1.3907,-0.2663
307,82.434,1.3918,-0.2668
