current[mA],power[mW],voltage[V],mpd_current[mA]
186,54.423,1.2411,-0.1745
187,54.669,1.2424,-0.1751
188,54.940,1.2438,-0.176
189,55.112,1.2452,-0.1766
190,55.382,1.2465,-0.1773
191,55.579,1.2479,-0.1781
192,55.800,1.2492,-0.179
193,56.022,1.2506,-0.1795
194,56.194,1.2519,-0.1802
195,56.415,1.2532,-0.181
196,56.661,1.2546,-0.1816
197,56.883,1.2559,-0.1823
198,57.104,1.2572,-0.1828
199,57.325,1.2585,-0.1835
200,57.571,1.2598,-0.1842
201,57.719,1.2611,-0.1848
202,57.989,1.2624,-0.1855
203,58.186,1.2637,-0.186
204,58.432,1.2650,-0.1867
205,58.629,1.2662,-0.1873
206,58.850,1.2675,-0.1879
207,59.047,1.2688,-0.1887
208,59.243,1.2700,-0.1893
209,59.465,1.2713,-0.19
210,59.711,1.2726,-0.1908
211,59.883,1.2738,-0.1915
212,60.080,1.2751,-0.1921
213,60.325,1.2763,-0.1928
214,60.498,1.2775,-0.1934
215,60.719,1.2788,-0.194
216,60.891,1.2800,-0.1947
217,61.039,1.2813,-0.1954
218,61.334,1.2825,-0.1959
219,61.506,1.2837,-0.1964
220,61.752,1.2849,-0.1971
221,61.949,1.2862,-0.1976
222,62.096,1.2873,-0.1982
223,62.293,1.2886,-0.1988
224,62.514,1.2898,-0.1994
225,62.736,1.2910,-0.1999
226,62.981,1.2922,-0.2006
227,63.178,1.2934,-0.2012
228,63.326,1.2946,-0.2019
229,63.498,1.2958,-0.2025
230,63.744,1.2970,-0.2032
231,63.965,1.2981,-0.2039
232,64.137,1.2993,-0.2045
233,64.285,1.3005,-0.2051
234,64.482,1.3016,-0.2056
235,64.678,1.3028,-0.2062
236,64.900,1.3040,-0.2068
237,65.047,1.3052,-0.2073
238,65.318,1.3063,-0.2078
239,65.490,1.3075,-0.2084
240,65.564,1.3086,-0.2089
241,65.834,1.3097,-0.2094
242,66.006,1.3109,-0.21
243,66.252,1.3120,-0.2105
244,66.326,1.3132,-0.211
245,66.572,1.3143,-0.2117
246,66.744,1.3154,-0.2122
247,66.965,1.3166,-0.2127
248,67.138,1.3177,-0.2134
249,67.334,1.3188,-0.214
250,67.457,1.3199,-0.2146
251,67.679,1.3210,-0.2151
252,67.875,1.3221,-0.2158
253,67.998,1.3233,-0.2163
254,68.195,1.3243,-0.2168
255,68.392,1.3254,-0.2174
256,68.564,1.3266,-0.2177
257,68.736,1.3276,-0.2184
258,68.957,1.3287,-0.2189
259,69.080,1.3298,-0.2193
260,69.253,1.3309,-0.2198
261,69.498,1.3320,-0.2204
262,69.621,1.3331,-0.2209
263,69.843,1.3341,-0.2213
264,69.941,1.3352,-0.2218
265,70.212,1.3363,-0.2225
266,70.359,1.3373,-0.2228
267,70.458,1.3384,-0.2234
268,70.704,1.3395,-0.224
269,70.876,1.3405,-0.2246
270,70.974,1.3416,-0.225
271,71.171,1.3427,-0.2256
272,71.368,1.3437,-0.226
273,71.515,1.3448,-0.2267
274,71.663,1.3458,-0.2271
275,71.835,1.3469,-0.2277
276,72.056,1.3479,-0.2282
277,72.179,1.3490,-0.2286
278,72.327,1.3499,-0.2289
279,72.450,1.3510,-0.2295
280,72.696,1.3520,-0.2299
281,72.843,1.3530,-0.2302
282,73.040,1.3541,-0.2309
283,73.163,1.3551,-0.2312
284,73.310,1.3561,-0.2317
285,73.532,1.3572,-0.2322
286,73.581,1.3581,-0.2328
287,73.802,1.3592,-0.2333
288,73.950,1.3602,-0.2338
289,74.146,1.3612,-0.2342
290,74.245,1.3621,-0.2347
291,74.368,1.3632,-0.2353
292,74.638,1.3641,-0.2356
293,74.712,1.3652,-0.2362
294,74.884,1.3661,-0.2366
295,75.007,1.3671,-0.237
296,75.179,1.3681,-0.2374
297,75.401,1.3691,-0.2379
298,75.499,1.3701,-0.2381
299,75.573,1.3711,-0.2386
300,75.819,1.3721,-0.239
301,75.966,1.3730,-0.2394
302,76.089,1.3740,-0.2399
303,76.237,1.3750,-0.2404
304,76.458,1.3760,-0.2408
305,76.581,1.3769,-0.2414
306,76.680,1.3779,-0.2418
307,76.827,1.3788,-0.2422
308,77.024,1.3798,-0.2427
309,77.171,1.3808,-0.2431
310,77.270,1.3817,-0.2435
311,77.417,1.3827,-0.2441
312,77.639,1.3836,-0.2444
313,77.786,1.3845,-0.2448
314,77.860,1.3855,-0.2451
315,78.057,1.3864,-0.2455
316,78.106,1.3874,-0.2458
317,78.303,1.3884,-0.2464
318,78.450,1.3893,-0.2468
319,78.549,1.3902,-0.2471
320,78.745,1.3912,-0.2476
321,78.844,1.3921,-0.2479
322,79.040,1.3930,-0.2483
