current[mA],power[mW],voltage[V],mpd_current[mA]
187,56.489,1.2446,-0.1498
188,56.735,1.2460,-0.1505
189,56.956,1.2474,-0.1511
190,57.227,1.2487,-0.1517
191,57.399,1.2501,-0.1524
192,57.669,1.2514,-0.1529
193,57.866,1.2527,-0.1536
194,58.161,1.2541,-0.1541
195,58.383,1.2554,-0.1548
196,58.629,1.2567,-0.1553
197,58.825,1.2580,-0.1559
198,59.047,1.2594,-0.1564
199,59.268,1.2607,-0.157
200,59.489,1.2620,-0.1576
201,59.809,1.2633,-0.1582
202,59.932,1.2645,-0.1588
203,60.178,1.2659,-0.1594
204,60.399,1.2672,-0.1601
205,60.645,1.2685,-0.1606
206,60.842,1.2697,-0.1612
207,61.039,1.2710,-0.1618
208,61.285,1.2723,-0.1624
209,61.481,1.2736,-0.1629
210,61.727,1.2749,-0.1636
211,61.973,1.2761,-0.1643
212,62.145,1.2774,-0.1648
213,62.391,1.2786,-0.1652
214,62.588,1.2799,-0.1658
215,62.809,1.2811,-0.1664
216,63.006,1.2823,-0.1669
217,63.203,1.2836,-0.1675
218,63.424,1.2848,-0.1681
219,63.621,1.2860,-0.1686
220,63.867,1.2873,-0.1692
221,64.064,1.2885,-0.1697
222,64.285,1.2897,-0.1701
223,64.432,1.2909,-0.1708
224,64.703,1.2921,-0.1713
225,64.924,1.2933,-0.1719
226,65.170,1.2945,-0.1724
227,65.318,1.2957,-0.1729
228,65.564,1.2969,-0.1734
229,65.736,1.2981,-0.174
230,65.859,1.2993,-0.1745
231,66.129,1.3005,-0.1751
232,66.375,1.3017,-0.1757
233,66.547,1.3029,-0.1762
234,66.670,1.3040,-0.1768
235,66.916,1.3052,-0.1772
236,67.064,1.3064,-0.1777
237,67.359,1.3075,-0.1783
238,67.556,1.3087,-0.1788
239,67.703,1.3099,-0.1791
240,67.925,1.3110,-0.1797
241,68.072,1.3121,-0.1803
242,68.293,1.3133,-0.1807
243,68.490,1.3144,-0.1813
244,68.662,1.3156,-0.1817
245,68.884,1.3167,-0.1822
246,69.056,1.3179,-0.1828
247,69.228,1.3190,-0.1833
248,69.449,1.3201,-0.1839
249,69.671,1.3213,-0.1843
250,69.843,1.3224,-0.1848
251,70.064,1.3235,-0.1853
252,70.212,1.3246,-0.1858
253,70.408,1.3257,-0.1863
254,70.556,1.3268,-0.1868
255,70.753,1.3279,-0.1872
256,70.974,1.3290,-0.1878
257,71.146,1.3301,-0.1882
258,71.294,1.3312,-0.1887
259,71.515,1.3323,-0.1892
260,71.663,1.3334,-0.1896
261,71.835,1.3345,-0.19
262,72.056,1.3356,-0.1905
263,72.228,1.3366,-0.191
264,72.425,1.3377,-0.1914
265,72.597,1.3389,-0.192
266,72.720,1.3399,-0.1924
267,72.966,1.3410,-0.1928
268,73.064,1.3420,-0.1934
269,73.261,1.3431,-0.1939
270,73.458,1.3442,-0.1943
271,73.630,1.3452,-0.1947
272,73.802,1.3463,-0.1955
273,73.974,1.3474,-0.1958
274,74.146,1.3484,-0.196
275,74.319,1.3495,-0.1966
276,74.491,1.3505,-0.1969
277,74.663,1.3516,-0.1975
278,74.884,1.3526,-0.1979
279,75.056,1.3536,-0.1982
280,75.179,1.3547,-0.1987
281,75.302,1.3557,-0.199
282,75.474,1.3567,-0.1995
283,75.720,1.3578,-0.1999
284,75.819,1.3588,-0.2004
285,76.016,1.3598,-0.2008
286,76.138,1.3608,-0.2012
287,76.311,1.3618,-0.2018
288,76.458,1.3629,-0.2022
289,76.655,1.3639,-0.2026
290,76.802,1.3649,-0.2032
291,76.999,1.3659,-0.2036
292,77.122,1.3669,-0.204
293,77.294,1.3679,-0.2044
294,77.491,1.3689,-0.2048
295,77.737,1.3699,-0.2051
296,77.762,1.3709,-0.2056
297,77.860,1.3719,-0.2059
298,78.106,1.3729,-0.2064
299,78.253,1.3739,-0.2067
300,78.401,1.3749,-0.207
301,78.598,1.3759,-0.2075
302,78.721,1.3769,-0.208
303,78.893,1.3779,-0.2084
304,78.991,1.3788,-0.2088
305,79.237,1.3798,-0.2093
306,79.360,1.3808,-0.2097
307,79.458,1.3818,-0.21
308,79.631,1.3827,-0.2106
309,79.778,1.3837,-0.2109
310,79.877,1.3846,-0.2113
311,80.073,1.3856,-0.2116
312,80.221,1.3866,-0.212
313,80.418,1.3875,-0.2124
314,80.516,1.3885,-0.2127
315,80.663,1.3895,-0.2131
316,80.836,1.3904,-0.2135
317,80.983,1.3913,-0.2137
318,81.106,1.3923,-0.2141
319,81.278,1.3932,-0.2144
320,81.426,1.3942,-0.2148
321,81.524,1.3951,-0.2153
322,81.672,1.3961,-0.2157
323,81.844,1.3970,-0.2163
324,81.942,1.3979,-0.2166
325,82.114,1.3989,-0.217
326,82.311,1.3998,-0.2173
327,82.385,1.4007,-0.2176
328,82.533,1.4017,-0.2181
329,82.705,1.4026,-0.2183
330,82.852,1.4035,-0.2187
331,82.975,1.4044,-0.219
332,83.074,1.4054,-0.2193
333,83.221,1.4063,-0.2195
334,83.320,1.4072,-0.22
335,83.565,1.4081,-0.2203
336,83.615,1.4090,-0.2207
337,83.762,1.4099,-0.2211
338,83.959,1.4108,-0.2214
339,84.057,1.4118,-0.2218
340,84.180,1.4127,-0.2222
341,84.303,1.4136,-0.2226
342,84.451,1.4145,-0.223
343,84.574,1.4153,-0.2233
344,84.770,1.4163,-0.2237
345,84.770,1.4171,-0.2241
346,84.943,1.4180,-0.2242
347,85.115,1.4189,-0.2247
348,85.262,1.4198,-0.225
349,85.311,1.4207,-0.2251
350,85.484,1.4216,-0.2256
351,85.656,1.4224,-0.2258
352,85.730,1.4233,-0.226
353,85.877,1.4242,-0.2265
354,85.975,1.4251,-0.2269
355,86.098,1.4260,-0.2271
356,86.221,1.4268,-0.2276
357,86.394,1.4277,-0.2279
358,86.517,1.4286,-0.2283
359,86.639,1.4294,-0.2287
360,86.689,1.4303,-0.229
361,86.812,1.4312,-0.2293
362,86.935,1.4320,-0.2295
363,87.107,1.4329,-0.2299
364,87.230,1.4337,-0.2302
365,87.303,1.4345,-0.2304
366,87.377,1.4354,-0.2306
367,87.574,1.4363,-0.2311
368,87.623,1.4371,-0.2312
369,87.746,1.4380,-0.2316
370,87.894,1.4388,-0.2319
371,88.017,1.4396,-0.2322
372,88.115,1.4405,-0.2324
373,88.263,1.4413,-0.2328
374,88.386,1.4422,-0.2331
375,88.484,1.4430,-0.2335
376,88.607,1.4439,-0.2338
377,88.705,1.4447,-0.2342
378,88.804,1.4455,-0.2344
379,88.902,1.4464,-0.2346
380,89.025,1.4472,-0.235
381,89.074,1.4480,-0.2353
382,89.295,1.4488,-0.2354
383,89.369,1.4497,-0.2356
384,89.517,1.4505,-0.2359
385,89.591,1.4513,-0.2362
386,89.714,1.4521,-0.2364
387,89.812,1.4529,-0.2368
388,89.910,1.4538,-0.2371
389,89.984,1.4546,-0.2373
390,90.156,1.4554,-0.2376
391,90.255,1.4562,-0.238
392,90.353,1.4570,-0.2384
393,90.451,1.4578,-0.2385
394,90.525,1.4586,-0.2389
395,90.623,1.4594,-0.2393
396,90.746,1.4602,-0.2394
397,90.845,1.4610,-0.2398
398,90.943,1.4618,-0.24
399,91.017,1.4626,-0.2401
400,91.165,1.4634,-0.2404
401,91.312,1.4642,-0.2406
402,91.410,1.4650,-0.2409
403,91.460,1.4658,-0.2411
404,91.607,1.4666,-0.2414
405,91.656,1.4674,-0.2417
406,91.755,1.4681,-0.2419
407,91.829,1.4689,-0.2421
408,91.976,1.4697,-0.2424
409,92.074,1.4705,-0.2427
410,92.148,1.4713,-0.2431
411,92.271,1.4721,-0.2432
412,92.370,1.4728,-0.2434
413,92.419,1.4736,-0.2437
414,92.493,1.4744,-0.2441
415,92.615,1.4752,-0.2443
416,92.763,1.4760,-0.2444
417,92.812,1.4767,-0.2446
418,92.911,1.4775,-0.2448
419,93.058,1.4783,-0.245
420,93.107,1.4790,-0.2454
421,93.181,1.4798,-0.2455
422,93.255,1.4806,-0.2457
423,93.353,1.4813,-0.246
424,93.452,1.4821,-0.2463
425,93.525,1.4828,-0.2467
426,93.624,1.4836,-0.2469
427,93.722,1.4843,-0.2471
428,93.845,1.4851,-0.2473
429,93.968,1.4858,-0.2475
430,93.968,1.4866,-0.2478
431,94.066,1.4873,-0.248
432,94.214,1.4881,-0.2482
433,94.239,1.4888,-0.2483
434,94.337,1.4896,-0.2484
435,94.435,1.4903,-0.2487
436,94.509,1.4910,-0.2489
437,94.558,1.4918,-0.249
438,94.607,1.4925,-0.2493
439,94.755,1.4932,-0.2495
440,94.853,1.4940,-0.2497
441,94.952,1.4947,-0.25
442,94.976,1.4954,-0.2503
443,95.075,1.4962,-0.2504
444,95.148,1.4969,-0.2508
445,95.247,1.4976,-0.251
446,95.271,1.4984,-0.2511
447,95.419,1.4991,-0.2512
448,95.468,1.4998,-0.2515
449,95.517,1.5005,-0.2515
450,95.591,1.5012,-0.2517
451,95.665,1.5019,-0.2519
452,95.763,1.5027,-0.2522
453,95.886,1.5034,-0.2524
454,95.960,1.5041,-0.2524
455,96.058,1.5049,-0.253
456,96.108,1.5055,-0.253
457,96.132,1.5063,-0.2532
458,96.280,1.5070,-0.2536
459,96.304,1.5077,-0.2537
460,96.354,1.5084,-0.2537
461,96.427,1.5091,-0.254
462,96.526,1.5098,-0.2542
463,96.599,1.5105,-0.2542
464,96.649,1.5112,-0.2545
465,96.722,1.5119,-0.2545
466,96.845,1.5126,-0.2547
467,96.870,1.5133,-0.2549
468,96.944,1.5140,-0.2552
469,97.018,1.5147,-0.2553
470,97.042,1.5154,-0.2554
471,97.165,1.5160,-0.2558
472,97.214,1.5168,-0.2559
473,97.288,1.5174,-0.2561
474,97.386,1.5181,-0.2564
475,97.436,1.5188,-0.2566
476,97.485,1.5195,-0.2567
477,97.608,1.5202,-0.2568
478,97.682,1.5209,-0.257
479,97.657,1.5215,-0.2571
480,97.731,1.5222,-0.2571
481,97.780,1.5229,-0.2573
482,97.829,1.5236,-0.2574
483,97.927,1.5242,-0.2577
484,98.001,1.5249,-0.2579
485,98.124,1.5256,-0.258
486,98.124,1.5263,-0.2581
487,98.173,1.5269,-0.2585
488,98.296,1.5276,-0.2586
489,98.370,1.5283,-0.2588
490,98.346,1.5290,-0.2589
491,98.395,1.5296,-0.259
492,98.493,1.5303,-0.2592
493,98.518,1.5309,-0.2592
494,98.641,1.5316,-0.2594
495,98.690,1.5322,-0.2594
496,98.739,1.5329,-0.2595
497,98.739,1.5335,-0.2596
498,98.862,1.5342,-0.2599
499,98.862,1.5349,-0.26
500,98.936,1.5355,-0.2603
