current[mA],power[mW],voltage[V],mpd_current[mA]
186,54.300,1.2131,-0.1538
187,54.448,1.2144,-0.1544
188,54.743,1.2157,-0.155
189,54.940,1.2169,-0.1556
190,55.161,1.2182,-0.1562
191,55.382,1.2195,-0.1566
192,55.628,1.2207,-0.1573
193,55.850,1.2220,-0.1579
194,56.022,1.2232,-0.1584
195,56.292,1.2245,-0.1589
196,56.514,1.2257,-0.1596
197,56.710,1.2270,-0.16
198,56.981,1.2282,-0.1606
199,57.178,1.2294,-0.1611
200,57.424,1.2306,-0.1616
201,57.620,1.2319,-0.1623
202,57.842,1.2330,-0.1628
203,58.088,1.2343,-0.1634
204,58.309,1.2355,-0.164
205,58.506,1.2367,-0.1645
206,58.776,1.2379,-0.1651
207,58.924,1.2391,-0.1656
208,59.145,1.2403,-0.1662
209,59.366,1.2415,-0.1668
210,59.563,1.2427,-0.1672
211,59.834,1.2438,-0.1677
212,60.030,1.2450,-0.1683
213,60.227,1.2462,-0.1688
214,60.448,1.2474,-0.1693
215,60.670,1.2485,-0.1698
216,60.891,1.2497,-0.1702
217,61.088,1.2509,-0.1707
218,61.285,1.2520,-0.1712
219,61.457,1.2531,-0.1717
220,61.752,1.2543,-0.1722
221,61.899,1.2555,-0.1726
222,62.096,1.2566,-0.1731
223,62.342,1.2578,-0.1736
224,62.539,1.2589,-0.1741
225,62.760,1.2600,-0.1747
226,62.883,1.2612,-0.1751
227,63.129,1.2624,-0.1756
228,63.400,1.2635,-0.1762
229,63.522,1.2646,-0.1768
230,63.719,1.2657,-0.1771
231,63.941,1.2668,-0.1776
232,64.162,1.2679,-0.1781
233,64.334,1.2690,-0.1786
234,64.555,1.2701,-0.179
235,64.752,1.2712,-0.1795
236,64.900,1.2723,-0.1799
237,65.096,1.2734,-0.1802
238,65.342,1.2745,-0.1807
239,65.564,1.2756,-0.1812
240,65.711,1.2767,-0.1816
241,65.933,1.2778,-0.1819
242,66.154,1.2789,-0.1824
243,66.277,1.2799,-0.1827
244,66.523,1.2810,-0.1832
245,66.670,1.2821,-0.1837
246,66.842,1.2831,-0.1841
247,67.039,1.2842,-0.1845
248,67.236,1.2853,-0.1851
249,67.433,1.2863,-0.1853
250,67.654,1.2874,-0.1859
251,67.826,1.2884,-0.1864
252,67.998,1.2895,-0.1866
253,68.220,1.2906,-0.1872
254,68.392,1.2916,-0.1876
255,68.564,1.2926,-0.188
256,68.712,1.2937,-0.1884
257,68.957,1.2947,-0.1887
258,69.056,1.2958,-0.1892
259,69.277,1.2968,-0.1895
260,69.425,1.2978,-0.1899
261,69.671,1.2988,-0.1902
262,69.843,1.2999,-0.1906
263,70.040,1.3009,-0.191
264,70.187,1.3019,-0.1913
265,70.384,1.3029,-0.1917
266,70.531,1.3039,-0.1921
267,70.679,1.3049,-0.1924
268,70.900,1.3060,-0.1928
269,71.122,1.3070,-0.1931
270,71.195,1.3080,-0.1936
271,71.392,1.3090,-0.194
272,71.638,1.3100,-0.1944
273,71.712,1.3110,-0.1945
274,71.933,1.3120,-0.1951
275,72.130,1.3130,-0.1955
276,72.228,1.3139,-0.1958
277,72.474,1.3150,-0.1962
278,72.671,1.3159,-0.1963
279,72.818,1.3169,-0.1968
280,72.966,1.3179,-0.197
281,73.114,1.3188,-0.1974
282,73.261,1.3198,-0.1977
283,73.433,1.3208,-0.198
284,73.630,1.3217,-0.1983
285,73.753,1.3227,-0.1987
286,73.925,1.3236,-0.199
287,74.122,1.3247,-0.1991
288,74.319,1.3256,-0.1997
289,74.417,1.3265,-0.1999
290,74.663,1.3275,-0.2002
291,74.761,1.3284,-0.2004
292,74.933,1.3294,-0.2009
293,75.056,1.3303,-0.2012
294,75.229,1.3313,-0.2014
295,75.401,1.3322,-0.2017
296,75.548,1.3332,-0.202
297,75.720,1.3341,-0.2024
298,75.843,1.3351,-0.2025
299,76.065,1.3360,-0.2028
300,76.138,1.3369,-0.2033
301,76.360,1.3379,-0.2034
302,76.507,1.3388,-0.2037
303,76.606,1.3397,-0.204
304,76.827,1.3406,-0.2043
305,76.950,1.3416,-0.2048
306,77.073,1.3425,-0.2048
307,77.294,1.3434,-0.2049
308,77.417,1.3443,-0.2053
309,77.565,1.3453,-0.2057
310,77.712,1.3461,-0.2059
311,77.885,1.3470,-0.2059
312,78.007,1.3479,-0.2064
313,78.106,1.3489,-0.2066
314,78.303,1.3497,-0.2068
315,78.450,1.3506,-0.207
316,78.598,1.3515,-0.2074
317,78.770,1.3524,-0.2076
318,78.819,1.3534,-0.2078
319,79.016,1.3542,-0.208
320,79.188,1.3551,-0.2084
321,79.311,1.3560,-0.2088
322,79.434,1.3569,-0.2088
323,79.606,1.3578,-0.2088
324,79.754,1.3586,-0.209
325,79.877,1.3595,-0.2094
326,79.950,1.3604,-0.2097
327,80.122,1.3613,-0.2098
328,80.319,1.3621,-0.2101
329,80.442,1.3630,-0.2103
330,80.541,1.3639,-0.2103
331,80.737,1.3647,-0.2107
332,80.836,1.3656,-0.2108
333,80.959,1.3665,-0.2111
334,81.131,1.3673,-0.2112
335,81.303,1.3682,-0.2115
336,79.532,1.3690,-0.1755
337,79.655,1.3690,-0.176
338,79.729,1.3698,-0.1762
339,79.926,1.3707,-0.1764
340,80.049,1.3715,-0.1767
341,80.147,1.3723,-0.1771
342,80.319,1.3732,-0.1775
343,80.393,1.3740,-0.1778
344,80.541,1.3749,-0.178
345,80.688,1.3758,-0.1784
346,80.811,1.3766,-0.1786
347,80.983,1.3774,-0.1789
348,81.106,1.3783,-0.1791
349,81.180,1.3791,-0.1795
350,81.278,1.3799,-0.1797
351,81.426,1.3808,-0.1799
352,81.573,1.3816,-0.1803
353,81.672,1.3824,-0.1804
354,81.795,1.3833,-0.1806
355,81.893,1.3841,-0.1809
356,82.041,1.3849,-0.1813
357,82.164,1.3857,-0.1815
358,82.287,1.3866,-0.1818
359,82.434,1.3874,-0.1821
360,82.533,1.3882,-0.1824
361,82.631,1.3890,-0.1825
362,82.803,1.3898,-0.1829
363,82.877,1.3906,-0.1832
364,83.049,1.3915,-0.1835
365,83.123,1.3923,-0.1837
366,83.221,1.3931,-0.1839
367,83.320,1.3939,-0.1842
368,83.467,1.3947,-0.1844
369,83.615,1.3955,-0.1847
370,83.713,1.3963,-0.1849
371,83.836,1.3971,-0.1851
372,83.959,1.3979,-0.1855
373,84.082,1.3987,-0.1856
374,84.180,1.3995,-0.1859
375,84.352,1.4003,-0.186
376,84.426,1.4011,-0.1863
377,84.475,1.4019,-0.1867
378,84.574,1.4027,-0.1868
379,84.795,1.4035,-0.1872
380,84.869,1.4042,-0.1874
381,84.967,1.4050,-0.1876
382,85.066,1.4058,-0.1878
383,85.189,1.4066,-0.188
384,85.361,1.4074,-0.1884
385,85.410,1.4082,-0.1885
386,85.508,1.4089,-0.1888
387,85.631,1.4097,-0.1891
388,85.680,1.4105,-0.1891
389,85.803,1.4112,-0.1896
390,85.902,1.4120,-0.1897
391,86.000,1.4128,-0.19
392,86.148,1.4136,-0.1901
393,86.246,1.4143,-0.1905
394,86.394,1.4151,-0.1906
395,86.443,1.4159,-0.1909
396,86.615,1.4166,-0.1912
397,86.664,1.4174,-0.1914
398,86.762,1.4182,-0.1914
399,86.885,1.4189,-0.1918
400,86.984,1.4196,-0.192
401,87.058,1.4204,-0.1922
402,87.131,1.4212,-0.1924
403,87.328,1.4219,-0.1926
404,87.377,1.4226,-0.1928
405,87.500,1.4234,-0.1931
406,87.525,1.4241,-0.1932
407,87.722,1.4249,-0.1936
408,87.771,1.4257,-0.1937
409,87.845,1.4264,-0.1938
410,87.943,1.4271,-0.1942
411,88.041,1.4279,-0.1943
412,88.164,1.4286,-0.1946
413,88.287,1.4293,-0.1948
414,88.312,1.4301,-0.195
415,88.435,1.4308,-0.195
416,88.533,1.4316,-0.1952
417,88.582,1.4323,-0.1955
418,88.631,1.4330,-0.1956
419,88.828,1.4337,-0.1957
420,88.902,1.4345,-0.1959
421,89.025,1.4352,-0.1963
422,89.074,1.4359,-0.1964
423,89.099,1.4366,-0.1966
424,89.271,1.4373,-0.1969
425,89.369,1.4381,-0.1971
426,89.418,1.4388,-0.1972
427,89.566,1.4395,-0.1974
428,89.640,1.4402,-0.1976
429,89.714,1.4409,-0.1976
430,89.861,1.4416,-0.1979
431,89.861,1.4423,-0.198
432,89.910,1.4430,-0.1982
433,90.009,1.4438,-0.1984
434,90.156,1.4445,-0.1986
435,90.181,1.4452,-0.1989
436,90.279,1.4459,-0.1991
437,90.427,1.4466,-0.1993
438,90.451,1.4473,-0.1995
439,90.525,1.4480,-0.1996
440,90.673,1.4487,-0.1998
441,90.697,1.4493,-0.1999
442,90.796,1.4500,-0.2001
443,90.919,1.4508,-0.2001
444,90.943,1.4514,-0.2003
445,91.017,1.4521,-0.2004
446,91.140,1.4528,-0.2007
447,91.238,1.4535,-0.2007
448,91.287,1.4542,-0.2009
449,91.410,1.4549,-0.2013
450,91.460,1.4556,-0.2013
451,91.509,1.4563,-0.2015
452,91.632,1.4569,-0.2018
453,91.779,1.4576,-0.202
454,91.755,1.4583,-0.2021
455,91.804,1.4590,-0.2024
456,91.927,1.4596,-0.2025
457,91.976,1.4603,-0.2026
458,92.074,1.4610,-0.2028
459,92.148,1.4617,-0.2028
460,92.222,1.4624,-0.2029
461,92.320,1.4630,-0.2031
462,92.394,1.4637,-0.2032
463,92.493,1.4644,-0.2033
464,92.542,1.4650,-0.2034
465,92.640,1.4657,-0.2037
466,92.665,1.4664,-0.2038
467,92.738,1.4670,-0.2039
468,92.812,1.4677,-0.2042
469,92.812,1.4684,-0.2043
470,92.960,1.4690,-0.2045
471,93.009,1.4697,-0.2048
472,93.132,1.4703,-0.2047
473,93.181,1.4710,-0.2049
474,93.206,1.4717,-0.2051
475,93.279,1.4723,-0.2051
476,93.329,1.4729,-0.2053
477,93.427,1.4736,-0.2054
478,93.476,1.4743,-0.2056
479,93.550,1.4749,-0.2055
480,93.624,1.4755,-0.2057
481,93.698,1.4762,-0.2058
482,93.722,1.4768,-0.206
483,93.821,1.4775,-0.2062
484,93.845,1.4781,-0.2064
485,93.943,1.4788,-0.2065
486,93.943,1.4794,-0.2067
487,94.042,1.4800,-0.2068
488,94.140,1.4807,-0.207
489,94.165,1.4813,-0.2072
490,94.239,1.4819,-0.2071
491,94.386,1.4826,-0.2073
492,94.386,1.4832,-0.2073
493,94.460,1.4838,-0.2074
494,94.485,1.4844,-0.2075
495,94.534,1.4851,-0.2076
496,94.607,1.4857,-0.2076
497,94.657,1.4863,-0.2079
498,94.706,1.4869,-0.208
499,94.755,1.4876,-0.2081
500,94.853,1.4882,-0.2083
