current[mA],power[mW],voltage[V],mpd_current[mA]
186,57.350,1.2358,-0.1597
187,57.596,1.2373,-0.1604
188,57.817,1.2388,-0.1611
189,58.088,1.2403,-0.1618
190,58.358,1.2417,-0.1624
191,58.629,1.2432,-0.163
192,58.875,1.2447,-0.1639
193,59.096,1.2461,-0.1646
194,59.342,1.2476,-0.1652
195,59.563,1.2491,-0.1659
196,59.784,1.2505,-0.1667
197,60.080,1.2519,-0.1674
198,60.252,1.2534,-0.168
199,60.571,1.2548,-0.1687
200,60.817,1.2562,-0.1695
201,61.063,1.2577,-0.1701
202,61.285,1.2591,-0.1708
203,61.506,1.2605,-0.1715
204,61.776,1.2619,-0.1722
205,62.022,1.2633,-0.1726
206,62.219,1.2647,-0.1734
207,62.514,1.2662,-0.174
208,62.736,1.2675,-0.1747
209,62.981,1.2690,-0.1753
210,63.227,1.2704,-0.176
211,63.498,1.2717,-0.1766
212,63.744,1.2731,-0.1774
213,63.891,1.2745,-0.178
214,64.162,1.2758,-0.1788
215,64.383,1.2772,-0.1793
216,64.629,1.2786,-0.1799
217,64.850,1.2799,-0.1808
218,65.047,1.2813,-0.1813
219,65.293,1.2827,-0.1819
220,65.514,1.2841,-0.1826
221,65.760,1.2854,-0.1833
222,65.982,1.2867,-0.1838
223,66.252,1.2881,-0.1844
224,66.424,1.2894,-0.1851
225,66.670,1.2908,-0.1857
226,66.867,1.2921,-0.1862
227,67.162,1.2935,-0.1868
228,67.359,1.2948,-0.1877
229,67.580,1.2961,-0.1883
230,67.802,1.2974,-0.1888
231,67.998,1.2987,-0.1894
232,68.220,1.3000,-0.1901
233,68.441,1.3014,-0.1907
234,68.638,1.3026,-0.1914
235,68.884,1.3040,-0.1919
236,69.105,1.3053,-0.1925
237,69.326,1.3066,-0.1932
238,69.523,1.3079,-0.1936
239,69.769,1.3092,-0.1944
240,69.966,1.3104,-0.1948
241,70.187,1.3117,-0.1955
242,70.408,1.3130,-0.1959
243,70.581,1.3143,-0.1965
244,70.777,1.3155,-0.1972
245,71.048,1.3168,-0.1978
246,71.245,1.3181,-0.1984
247,71.441,1.3193,-0.1989
248,71.638,1.3206,-0.1996
249,71.810,1.3218,-0.2002
250,72.007,1.3231,-0.2007
251,72.302,1.3243,-0.2013
252,72.474,1.3256,-0.2019
253,72.696,1.3269,-0.2024
254,72.892,1.3281,-0.203
255,73.114,1.3293,-0.2036
256,73.261,1.3306,-0.2042
257,73.556,1.3318,-0.2046
258,73.679,1.3331,-0.2052
259,73.851,1.3343,-0.2057
260,74.122,1.3355,-0.2062
261,74.343,1.3367,-0.2068
262,74.540,1.3380,-0.2074
263,74.638,1.3392,-0.208
264,74.884,1.3404,-0.2087
265,75.081,1.3416,-0.2092
266,75.278,1.3428,-0.2097
267,75.524,1.3440,-0.2103
268,75.647,1.3453,-0.2108
269,75.868,1.3465,-0.2114
270,76.089,1.3476,-0.212
271,76.261,1.3489,-0.2123
272,76.483,1.3501,-0.2129
273,76.606,1.3512,-0.2134
274,76.778,1.3524,-0.2138
275,77.073,1.3536,-0.2143
276,77.245,1.3548,-0.2148
277,77.417,1.3560,-0.2154
278,77.639,1.3571,-0.216
279,77.762,1.3583,-0.2165
280,77.958,1.3595,-0.2171
281,78.106,1.3607,-0.2177
282,78.352,1.3618,-0.2182
283,78.549,1.3630,-0.2187
284,78.672,1.3642,-0.2192
285,78.893,1.3653,-0.2197
286,79.040,1.3665,-0.22
287,79.237,1.3676,-0.2205
288,79.458,1.3688,-0.2211
289,79.557,1.3699,-0.2216
290,79.803,1.3711,-0.222
291,79.901,1.3722,-0.2225
292,80.147,1.3733,-0.223
293,80.368,1.3745,-0.2235
294,80.491,1.3757,-0.2241
295,80.639,1.3768,-0.2245
296,80.836,1.3779,-0.2251
297,81.008,1.3791,-0.2256
298,81.229,1.3802,-0.226
299,81.328,1.3813,-0.2266
300,81.500,1.3824,-0.2271
301,81.746,1.3836,-0.2275
302,81.893,1.3847,-0.2279
303,82.114,1.3858,-0.2282
304,82.262,1.3869,-0.2287
305,82.410,1.3880,-0.2292
306,82.533,1.3891,-0.2295
307,82.754,1.3902,-0.2301
308,82.926,1.3913,-0.2307
309,83.049,1.3924,-0.2311
310,83.221,1.3936,-0.2318
311,83.418,1.3946,-0.2322
312,83.541,1.3958,-0.2326
313,83.762,1.3968,-0.2331
314,83.861,1.3979,-0.2335
315,84.082,1.3990,-0.234
316,84.229,1.4001,-0.2343
317,84.402,1.4012,-0.2348
318,84.549,1.4023,-0.2352
319,84.746,1.4034,-0.2355
320,84.893,1.4044,-0.2361
321,85.016,1.4055,-0.2365
322,85.213,1.4066,-0.2369
323,85.361,1.4077,-0.2374
324,85.508,1.4088,-0.2378
325,85.730,1.4098,-0.2385
326,85.877,1.4109,-0.2389
327,86.049,1.4120,-0.2391
328,86.197,1.4130,-0.2397
329,86.320,1.4141,-0.2401
330,86.541,1.4151,-0.2406
331,86.639,1.4162,-0.2409
332,86.836,1.4172,-0.2413
333,86.935,1.4183,-0.2418
334,87.058,1.4193,-0.2421
335,87.205,1.4204,-0.2426
336,87.377,1.4214,-0.243
337,87.549,1.4224,-0.2433
338,87.697,1.4235,-0.2439
339,87.820,1.4245,-0.2442
340,87.992,1.4256,-0.2447
341,88.189,1.4266,-0.2452
342,88.312,1.4277,-0.2454
343,88.435,1.4287,-0.2461
344,88.631,1.4298,-0.2464
345,88.754,1.4308,-0.2468
346,88.902,1.4318,-0.2471
347,89.025,1.4328,-0.2476
348,89.148,1.4338,-0.2478
349,89.345,1.4348,-0.2483
350,89.517,1.4359,-0.2488
351,89.591,1.4369,-0.249
352,89.689,1.4379,-0.2496
353,89.812,1.4389,-0.2497
354,89.984,1.4399,-0.2501
355,90.156,1.4409,-0.2506
356,90.304,1.4419,-0.251
357,90.402,1.4429,-0.2512
358,90.574,1.4439,-0.2516
359,90.673,1.4449,-0.252
360,90.746,1.4459,-0.2524
361,90.919,1.4469,-0.2528
362,91.091,1.4479,-0.2532
363,91.287,1.4489,-0.2535
364,91.386,1.4499,-0.254
365,91.460,1.4508,-0.2544
366,91.607,1.4518,-0.2547
367,91.755,1.4528,-0.2551
368,91.853,1.4538,-0.2553
369,91.976,1.4548,-0.2557
370,92.124,1.4558,-0.2559
371,92.296,1.4567,-0.2562
372,92.468,1.4577,-0.2566
373,92.566,1.4587,-0.257
374,92.689,1.4597,-0.2575
375,92.812,1.4606,-0.2577
376,92.911,1.4616,-0.2583
377,93.083,1.4626,-0.2586
378,93.255,1.4635,-0.259
379,93.304,1.4645,-0.2595
380,93.476,1.4654,-0.2596
381,93.599,1.4664,-0.26
382,93.698,1.4674,-0.2602
383,93.845,1.4683,-0.2605
384,93.993,1.4692,-0.2605
385,94.091,1.4702,-0.2609
386,94.189,1.4712,-0.2612
387,94.288,1.4721,-0.2618
388,94.460,1.4731,-0.2621
389,94.534,1.4740,-0.2625
390,94.681,1.4749,-0.2631
391,94.780,1.4759,-0.2633
392,94.853,1.4768,-0.2637
393,94.976,1.4777,-0.264
394,95.124,1.4787,-0.2642
395,95.247,1.4796,-0.2643
396,95.370,1.4806,-0.2645
397,95.517,1.4815,-0.2648
398,95.616,1.4824,-0.2651
399,95.739,1.4833,-0.2655
400,95.837,1.4842,-0.2658
401,95.886,1.4851,-0.2664
402,96.009,1.4861,-0.2666
403,96.108,1.4869,-0.2671
404,96.280,1.4879,-0.2674
405,96.378,1.4888,-0.2677
406,96.550,1.4897,-0.2681
407,96.575,1.4906,-0.2682
408,96.698,1.4916,-0.2683
409,96.796,1.4925,-0.2685
410,96.944,1.4934,-0.2688
411,97.091,1.4943,-0.2689
412,97.067,1.4952,-0.2693
413,97.214,1.4961,-0.2696
414,97.362,1.4970,-0.27
415,97.485,1.4979,-0.2704
416,97.583,1.4988,-0.2707
417,97.632,1.4997,-0.2712
418,97.755,1.5005,-0.2714
419,97.903,1.5014,-0.2717
420,97.977,1.5024,-0.2717
421,98.100,1.5032,-0.2721
422,98.198,1.5041,-0.2722
423,98.272,1.5050,-0.2724
424,98.419,1.5059,-0.2725
425,98.469,1.5068,-0.2729
426,98.542,1.5077,-0.2733
427,98.665,1.5085,-0.2736
428,98.714,1.5094,-0.2739
429,98.887,1.5103,-0.2742
430,98.936,1.5111,-0.2747
431,99.059,1.5120,-0.275
432,99.157,1.5129,-0.2752
433,99.280,1.5137,-0.2752
434,99.329,1.5146,-0.2756
435,99.428,1.5155,-0.2756
436,99.575,1.5163,-0.2758
437,99.674,1.5172,-0.276
438,99.723,1.5181,-0.2761
439,99.846,1.5189,-0.2765
440,99.919,1.5198,-0.2768
441,99.944,1.5206,-0.2772
442,100.042,1.5215,-0.2777
443,100.141,1.5223,-0.2779
444,100.313,1.5232,-0.278
445,100.313,1.5240,-0.2782
446,100.436,1.5249,-0.2783
447,100.534,1.5257,-0.2786
448,100.608,1.5265,-0.2786
449,100.682,1.5274,-0.2788
450,100.780,1.5282,-0.279
451,100.903,1.5290,-0.2794
452,100.928,1.5299,-0.2796
453,101.149,1.5307,-0.2799
454,101.124,1.5316,-0.2802
455,101.248,1.5324,-0.2804
456,101.297,1.5332,-0.2806
457,101.420,1.5341,-0.281
458,101.444,1.5349,-0.2811
