current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.025,0.7682,-8.364e-05
2,-0.000,0.7856,-9.97e-05
3,-0.025,0.7980,-0.0001137
4,-0.049,0.8086,-0.0001296
5,-0.025,0.8180,-0.0001439
6,0.049,0.8259,-0.0001578
7,0.025,0.8333,-0.0001727
8,-0.000,0.8401,-0.000188
9,0.025,0.8462,-0.0002041
10,0.025,0.8521,-0.0002219
11,0.049,0.8578,-0.0002408
12,0.025,0.8630,-0.0002612
13,0.025,0.8682,-0.0002845
14,0.098,0.8730,-0.0003109
15,0.074,0.8777,-0.0003444
16,0.320,0.8816,-0.0008018
17,0.787,0.8844,-0.001805
18,1.254,0.8872,-0.002821
19,1.746,0.8900,-0.003819
20,2.238,0.8929,-0.004798
21,2.681,0.8957,-0.005751
22,3.074,0.8986,-0.006712
23,3.541,0.9014,-0.007696
24,4.033,0.9042,-0.008668
25,4.427,0.9071,-0.009598
26,4.820,0.9100,-0.01057
27,5.287,0.9128,-0.0115
28,5.730,0.9157,-0.01247
29,6.148,0.9185,-0.01341
30,6.517,0.9213,-0.01437
31,6.960,0.9242,-0.01529
32,7.402,0.9269,-0.01623
33,7.771,0.9297,-0.01713
34,8.165,0.9325,-0.01807
35,8.607,0.9353,-0.01898
36,8.976,0.9380,-0.01991
37,9.394,0.9408,-0.02083
38,9.739,0.9435,-0.02173
39,10.181,0.9462,-0.02264
40,10.599,0.9489,-0.02357
41,10.919,0.9516,-0.02444
42,11.386,0.9543,-0.02536
43,11.731,0.9570,-0.02625
44,12.099,0.9597,-0.02716
45,12.493,0.9624,-0.02807
46,12.886,0.9651,-0.02898
47,13.329,0.9676,-0.02984
48,13.698,0.9702,-0.03074
49,14.042,0.9729,-0.03164
50,14.411,0.9755,-0.03251
51,14.829,0.9781,-0.03341
52,15.174,0.9807,-0.03429
53,15.518,0.9832,-0.0352
54,15.911,0.9858,-0.03608
55,16.354,0.9883,-0.03698
56,16.624,0.9909,-0.03785
57,17.067,0.9934,-0.03868
58,17.436,0.9959,-0.03958
59,17.780,0.9984,-0.04044
60,18.174,1.0009,-0.04131
61,18.543,1.0034,-0.04219
62,18.862,1.0058,-0.04307
63,19.280,1.0082,-0.04389
64,19.649,1.0107,-0.0448
65,19.944,1.0131,-0.04563
66,20.338,1.0156,-0.04649
67,20.731,1.0179,-0.04732
68,21.051,1.0203,-0.0482
69,21.420,1.0227,-0.04904
70,21.740,1.0251,-0.04991
71,22.182,1.0274,-0.0507
72,22.478,1.0298,-0.05157
73,22.846,1.0321,-0.05236
74,23.240,1.0344,-0.05324
75,23.560,1.0368,-0.05409
76,23.904,1.0391,-0.05488
77,24.273,1.0414,-0.05572
78,24.592,1.0436,-0.05653
79,24.912,1.0459,-0.05738
80,25.330,1.0482,-0.0582
81,25.650,1.0504,-0.059
82,26.043,1.0526,-0.05981
83,26.339,1.0548,-0.06071
84,26.707,1.0571,-0.06151
85,26.978,1.0593,-0.06233
86,27.371,1.0615,-0.06315
87,27.716,1.0637,-0.06395
88,28.085,1.0659,-0.06473
89,28.380,1.0681,-0.06559
90,28.798,1.0702,-0.06643
91,29.044,1.0724,-0.06717
92,29.413,1.0745,-0.06801
93,29.757,1.0767,-0.06875
94,30.101,1.0788,-0.06956
95,30.421,1.0809,-0.07039
96,30.765,1.0831,-0.07111
97,31.085,1.0851,-0.07195
98,31.405,1.0873,-0.07276
99,31.749,1.0894,-0.07352
100,32.118,1.0915,-0.07427
101,32.388,1.0935,-0.07503
102,32.733,1.0955,-0.07588
103,33.028,1.0976,-0.07666
104,33.397,1.0996,-0.07743
105,33.692,1.1017,-0.07821
106,34.036,1.1036,-0.07896
107,34.356,1.1056,-0.07976
108,34.626,1.1076,-0.08049
109,34.971,1.1097,-0.08124
110,35.339,1.1116,-0.08198
111,35.635,1.1136,-0.08274
112,35.905,1.1156,-0.08353
113,36.299,1.1176,-0.08428
114,36.594,1.1195,-0.08503
115,36.889,1.1214,-0.08578
116,37.233,1.1234,-0.08652
117,37.528,1.1253,-0.08725
118,37.872,1.1272,-0.088
119,38.168,1.1291,-0.08878
120,38.438,1.1310,-0.08948
121,38.782,1.1329,-0.09016
122,39.102,1.1348,-0.09094
123,39.422,1.1366,-0.09166
124,39.692,1.1385,-0.09239
125,40.012,1.1404,-0.09311
126,40.307,1.1422,-0.0939
127,40.651,1.1441,-0.09458
128,40.922,1.1459,-0.09528
129,41.168,1.1478,-0.09597
130,41.561,1.1496,-0.09673
131,41.832,1.1514,-0.09751
132,42.176,1.1532,-0.09827
133,42.447,1.1550,-0.0989
134,42.717,1.1568,-0.09958
135,43.037,1.1586,-0.1003
136,43.283,1.1604,-0.101
137,43.603,1.1622,-0.1016
138,43.922,1.1639,-0.1023
139,44.217,1.1657,-0.103
140,44.463,1.1675,-0.1038
141,44.783,1.1692,-0.1044
142,45.103,1.1709,-0.105
143,45.373,1.1727,-0.1058
144,45.668,1.1744,-0.1065
145,45.890,1.1761,-0.1073
146,46.259,1.1778,-0.1078
147,46.480,1.1795,-0.1085
148,46.800,1.1812,-0.1093
149,47.070,1.1829,-0.1099
150,47.341,1.1846,-0.1106
151,47.611,1.1863,-0.1112
152,47.955,1.1880,-0.1119
153,48.226,1.1896,-0.1126
154,48.496,1.1913,-0.1133
155,48.767,1.1929,-0.1139
156,49.087,1.1946,-0.1146
157,49.357,1.1963,-0.1153
158,49.628,1.1979,-0.1158
159,49.849,1.1996,-0.1164
160,50.120,1.2012,-0.1172
161,50.415,1.2028,-0.1179
162,50.685,1.2045,-0.1185
163,51.005,1.2060,-0.1192
164,51.275,1.2076,-0.1198
165,51.521,1.2092,-0.1205
166,51.816,1.2108,-0.1211
167,52.062,1.2124,-0.1217
168,52.308,1.2141,-0.1223
169,52.603,1.2156,-0.1231
170,52.898,1.2172,-0.1236
171,53.144,1.2188,-0.1242
172,53.390,1.2203,-0.1249
173,53.685,1.2219,-0.1256
174,53.981,1.2235,-0.1261
175,54.226,1.2250,-0.1267
176,54.448,1.2266,-0.1273
177,54.669,1.2281,-0.128
178,55.013,1.2297,-0.1286
179,55.284,1.2312,-0.1292
180,55.530,1.2327,-0.1298
181,55.727,1.2342,-0.1304
182,56.071,1.2357,-0.131
183,56.292,1.2373,-0.1316
184,56.538,1.2388,-0.1322
185,56.735,1.2403,-0.1329
186,56.981,1.2417,-0.1335
187,57.251,1.2432,-0.1341
188,57.497,1.2447,-0.1346
189,57.768,1.2462,-0.1353
190,58.014,1.2477,-0.1358
191,58.235,1.2491,-0.1364
192,58.555,1.2507,-0.137
193,58.727,1.2521,-0.1376
194,58.997,1.2536,-0.1381
195,59.268,1.2550,-0.1388
196,59.538,1.2564,-0.1393
197,59.711,1.2579,-0.1399
198,59.932,1.2593,-0.1405
199,60.252,1.2608,-0.141
200,60.473,1.2622,-0.1416
201,60.744,1.2637,-0.1422
202,60.989,1.2651,-0.1429
203,61.186,1.2665,-0.1434
204,61.457,1.2679,-0.144
205,61.678,1.2694,-0.1446
206,61.924,1.2708,-0.1451
207,62.170,1.2722,-0.1457
208,62.391,1.2736,-0.1462
209,62.637,1.2750,-0.1468
210,62.932,1.2764,-0.1473
211,63.104,1.2777,-0.1478
212,63.301,1.2792,-0.1485
213,63.572,1.2806,-0.1489
214,63.818,1.2819,-0.1495
215,64.064,1.2833,-0.1501
216,64.285,1.2847,-0.1506
217,64.506,1.2860,-0.1511
218,64.728,1.2874,-0.1516
219,64.973,1.2887,-0.1522
220,65.269,1.2901,-0.1527
221,65.416,1.2914,-0.1532
222,65.662,1.2927,-0.1538
223,65.859,1.2941,-0.1544
224,66.080,1.2954,-0.1549
225,66.326,1.2967,-0.1554
226,66.449,1.2981,-0.1559
227,66.744,1.2994,-0.1565
228,66.990,1.3007,-0.157
229,67.162,1.3021,-0.1575
230,67.433,1.3034,-0.1581
231,67.629,1.3047,-0.1584
232,67.900,1.3060,-0.1589
233,68.072,1.3074,-0.1595
234,68.293,1.3087,-0.16
235,68.564,1.3099,-0.1605
236,68.712,1.3113,-0.161
237,68.957,1.3126,-0.1616
238,69.154,1.3139,-0.1621
239,69.449,1.3152,-0.1626
240,69.646,1.3165,-0.1631
241,69.843,1.3177,-0.1636
242,70.064,1.3190,-0.1641
243,70.236,1.3203,-0.1647
244,70.458,1.3216,-0.1651
245,70.630,1.3229,-0.1655
246,70.802,1.3241,-0.1661
247,71.097,1.3254,-0.1666
248,71.245,1.3266,-0.167
249,71.466,1.3279,-0.1674
250,71.663,1.3291,-0.1681
251,71.933,1.3304,-0.1685
252,72.105,1.3317,-0.1689
253,72.351,1.3329,-0.1694
254,72.474,1.3341,-0.1699
255,72.745,1.3354,-0.1704
256,72.917,1.3366,-0.1708
257,73.138,1.3378,-0.1713
258,73.310,1.3390,-0.1718
259,73.507,1.3403,-0.1722
260,73.728,1.3415,-0.1727
261,73.950,1.3427,-0.1731
262,74.122,1.3439,-0.1736
263,74.294,1.3452,-0.174
264,74.466,1.3464,-0.1745
265,74.737,1.3476,-0.175
266,74.884,1.3488,-0.1755
267,75.130,1.3500,-0.176
268,75.302,1.3512,-0.1764
269,75.450,1.3524,-0.1768
270,75.622,1.3536,-0.1773
271,75.893,1.3548,-0.1777
272,76.040,1.3560,-0.1782
273,76.237,1.3572,-0.1787
274,76.434,1.3584,-0.1791
275,76.630,1.3596,-0.1795
276,76.827,1.3607,-0.18
277,77.024,1.3619,-0.1805
278,77.221,1.3631,-0.1809
279,77.343,1.3643,-0.1813
280,77.565,1.3655,-0.1817
281,77.737,1.3666,-0.1821
282,77.934,1.3678,-0.1826
283,78.106,1.3690,-0.1829
284,78.303,1.3701,-0.1835
285,78.450,1.3713,-0.1837
286,78.598,1.3724,-0.1842
287,78.868,1.3735,-0.1847
288,79.016,1.3747,-0.1851
289,79.139,1.3758,-0.1854
290,79.385,1.3770,-0.1859
291,79.532,1.3781,-0.1864
292,79.729,1.3792,-0.1868
293,79.852,1.3804,-0.1872
294,80.098,1.3815,-0.1876
295,80.270,1.3826,-0.188
296,80.393,1.3838,-0.1885
297,80.565,1.3849,-0.1888
298,80.811,1.3860,-0.1891
