current[mA],power[mW],voltage[V],mpd_current[mA]
186,55.333,1.2450,-0.1912
187,55.579,1.2465,-0.1919
188,55.825,1.2481,-0.1928
189,56.096,1.2496,-0.1936
190,56.317,1.2511,-0.1945
191,56.563,1.2526,-0.1954
192,56.833,1.2541,-0.196
193,57.005,1.2555,-0.1968
194,57.227,1.2570,-0.1977
195,57.522,1.2585,-0.1984
196,57.768,1.2599,-0.199
197,58.038,1.2614,-0.2
198,58.210,1.2629,-0.2007
199,58.506,1.2643,-0.2014
200,58.702,1.2658,-0.2022
201,58.997,1.2673,-0.203
202,59.194,1.2687,-0.2037
203,59.489,1.2702,-0.2045
204,59.661,1.2716,-0.2053
205,59.907,1.2730,-0.2061
206,60.153,1.2745,-0.2069
207,60.399,1.2759,-0.2077
208,60.645,1.2773,-0.2084
209,60.891,1.2787,-0.2091
210,61.137,1.2802,-0.2098
211,61.334,1.2816,-0.2105
212,61.555,1.2830,-0.2112
213,61.826,1.2844,-0.212
214,62.022,1.2857,-0.2126
215,62.268,1.2871,-0.2134
216,62.465,1.2885,-0.2141
217,62.711,1.2899,-0.2148
218,62.932,1.2913,-0.2155
219,63.129,1.2927,-0.2162
220,63.424,1.2941,-0.2169
221,63.645,1.2955,-0.2176
222,63.867,1.2968,-0.2184
223,64.064,1.2982,-0.2191
224,64.309,1.2995,-0.2199
225,64.555,1.3009,-0.2206
226,64.777,1.3022,-0.2211
227,64.998,1.3036,-0.2218
228,65.195,1.3049,-0.2226
229,65.342,1.3063,-0.2233
230,65.613,1.3076,-0.2238
231,65.883,1.3090,-0.2246
232,66.080,1.3103,-0.2252
233,66.326,1.3116,-0.2258
234,66.474,1.3129,-0.2265
235,66.720,1.3143,-0.2272
236,66.941,1.3156,-0.2279
237,67.113,1.3169,-0.2285
238,67.334,1.3182,-0.2293
239,67.556,1.3195,-0.23
240,67.777,1.3209,-0.2306
241,68.023,1.3222,-0.2314
242,68.195,1.3235,-0.2322
243,68.392,1.3247,-0.2328
244,68.662,1.3261,-0.2334
245,68.859,1.3274,-0.2341
246,69.080,1.3286,-0.2346
247,69.277,1.3299,-0.2353
248,69.474,1.3312,-0.2358
249,69.695,1.3325,-0.2366
250,69.892,1.3338,-0.2371
251,70.113,1.3351,-0.2376
252,70.310,1.3363,-0.2384
253,70.482,1.3376,-0.239
254,70.728,1.3388,-0.2397
255,70.949,1.3401,-0.2404
256,71.146,1.3414,-0.2412
257,71.294,1.3426,-0.2417
258,71.515,1.3439,-0.2423
259,71.736,1.3451,-0.243
260,71.884,1.3464,-0.2436
261,72.130,1.3476,-0.2442
262,72.302,1.3489,-0.2447
263,72.573,1.3501,-0.2453
264,72.720,1.3513,-0.2459
265,72.892,1.3526,-0.2465
266,73.114,1.3538,-0.247
267,73.310,1.3550,-0.2477
268,73.532,1.3562,-0.2482
269,73.679,1.3575,-0.249
270,73.925,1.3587,-0.2495
271,74.048,1.3599,-0.2502
272,74.269,1.3611,-0.2509
273,74.417,1.3623,-0.2514
274,74.638,1.3636,-0.252
275,74.810,1.3647,-0.2526
276,75.056,1.3659,-0.253
