current[mA],power[mW],voltage[V],mpd_current[mA]
187,55.407,1.2642,-0.1712
188,55.653,1.2658,-0.172
189,55.850,1.2673,-0.1727
190,56.071,1.2688,-0.1735
191,56.415,1.2704,-0.1741
192,56.637,1.2719,-0.175
193,56.883,1.2735,-0.1757
194,57.104,1.2750,-0.1764
195,57.350,1.2765,-0.1772
196,57.596,1.2780,-0.1779
197,57.817,1.2795,-0.1785
198,58.038,1.2811,-0.1792
199,58.260,1.2826,-0.1799
200,58.555,1.2841,-0.1808
201,58.825,1.2856,-0.1814
202,59.022,1.2871,-0.1821
203,59.268,1.2886,-0.1829
204,59.538,1.2901,-0.1835
205,59.735,1.2915,-0.1842
206,59.981,1.2930,-0.1851
207,60.252,1.2945,-0.1858
208,60.522,1.2959,-0.1865
209,60.744,1.2974,-0.1872
210,60.989,1.2989,-0.1878
211,61.211,1.3003,-0.1885
212,61.383,1.3017,-0.1892
213,61.653,1.3033,-0.1898
214,61.899,1.3046,-0.1905
215,62.145,1.3061,-0.1911
216,62.317,1.3075,-0.1917
217,62.563,1.3089,-0.1924
218,62.809,1.3103,-0.1931
219,62.981,1.3117,-0.1938
220,63.252,1.3132,-0.1946
221,63.400,1.3146,-0.1951
222,63.695,1.3160,-0.1957
223,63.891,1.3174,-0.1966
224,64.162,1.3188,-0.1973
225,64.383,1.3202,-0.1979
226,64.580,1.3216,-0.1985
227,64.801,1.3230,-0.1991
228,65.072,1.3243,-0.1998
229,65.195,1.3257,-0.2004
230,65.490,1.3271,-0.2011
231,65.711,1.3285,-0.2017
232,65.908,1.3299,-0.2024
233,66.203,1.3313,-0.203
234,66.326,1.3326,-0.2036
235,66.572,1.3340,-0.2042
236,66.818,1.3353,-0.2049
237,66.965,1.3366,-0.2056
238,67.187,1.3380,-0.2062
239,67.433,1.3393,-0.2068
240,67.580,1.3407,-0.2076
241,67.851,1.3420,-0.2082
242,68.097,1.3434,-0.2087
243,68.269,1.3447,-0.2093
244,68.490,1.3460,-0.2099
245,68.687,1.3474,-0.2105
246,68.933,1.3487,-0.211
247,69.154,1.3500,-0.2117
248,69.326,1.3513,-0.2122
249,69.572,1.3526,-0.2128
250,69.720,1.3539,-0.2136
251,69.917,1.3552,-0.2142
252,70.187,1.3565,-0.2148
253,70.359,1.3578,-0.2154
254,70.531,1.3591,-0.2161
255,70.704,1.3604,-0.2166
256,70.900,1.3617,-0.2172
257,71.097,1.3630,-0.2179
258,71.417,1.3643,-0.2184
259,71.515,1.3656,-0.2189
260,71.712,1.3668,-0.2196
261,71.982,1.3681,-0.22
262,72.204,1.3694,-0.2204
263,72.400,1.3707,-0.2212
264,72.573,1.3719,-0.2218
265,72.769,1.3732,-0.2223
266,72.966,1.3744,-0.2229
267,73.163,1.3757,-0.2236
268,73.335,1.3769,-0.2241
269,73.507,1.3781,-0.2247
270,73.753,1.3794,-0.2253
271,73.925,1.3807,-0.2259
272,74.097,1.3819,-0.2264
273,74.319,1.3831,-0.227
274,74.491,1.3844,-0.2275
275,74.688,1.3856,-0.228
276,74.909,1.3868,-0.2285
277,75.007,1.3881,-0.2291
278,75.278,1.3893,-0.2296
279,75.425,1.3905,-0.2302
280,75.647,1.3918,-0.2307
281,75.819,1.3929,-0.2312
282,75.966,1.3942,-0.2317
283,76.212,1.3954,-0.2324
284,76.384,1.3966,-0.2328
285,76.630,1.3978,-0.2335
286,76.753,1.3990,-0.2339
287,76.925,1.4002,-0.2346
288,77.098,1.4014,-0.2352
289,77.294,1.4026,-0.2355
290,77.417,1.4038,-0.2361
291,77.663,1.4050,-0.2365
292,77.786,1.4062,-0.2371
293,78.007,1.4073,-0.2376
294,78.130,1.4085,-0.2382
295,78.303,1.4097,-0.2385
296,78.499,1.4109,-0.2392
297,78.721,1.4121,-0.2396
298,78.868,1.4132,-0.2403
299,78.991,1.4144,-0.2409
300,79.237,1.4156,-0.2412
301,79.360,1.4167,-0.2418
302,79.557,1.4179,-0.2423
303,79.729,1.4190,-0.2428
304,79.926,1.4202,-0.2432
305,80.049,1.4213,-0.2437
306,80.270,1.4225,-0.2442
307,80.418,1.4236,-0.2446
308,80.541,1.4248,-0.2452
309,80.811,1.4259,-0.2456
310,80.959,1.4270,-0.2461
311,81.131,1.4282,-0.2466
312,81.278,1.4293,-0.247
313,81.426,1.4304,-0.2476
314,81.549,1.4316,-0.2482
315,81.746,1.4327,-0.2486
316,81.918,1.4338,-0.2492
317,82.139,1.4350,-0.2496
318,82.237,1.4361,-0.2501
319,82.410,1.4372,-0.2506
320,82.533,1.4383,-0.2509
321,82.729,1.4394,-0.2513
322,82.877,1.4405,-0.2518
323,83.000,1.4417,-0.2522
324,83.172,1.4428,-0.2526
325,83.344,1.4439,-0.2532
326,83.492,1.4450,-0.2537
327,83.713,1.4461,-0.2542
328,83.811,1.4472,-0.2546
329,83.984,1.4483,-0.2553
330,84.106,1.4493,-0.2556
331,84.254,1.4504,-0.2563
332,84.451,1.4515,-0.2565
333,84.549,1.4526,-0.2569
334,84.697,1.4537,-0.2573
335,84.893,1.4548,-0.2578
336,85.016,1.4558,-0.2582
337,85.139,1.4569,-0.2586
338,85.361,1.4580,-0.2592
339,85.459,1.4591,-0.2594
340,85.656,1.4601,-0.2601
341,85.828,1.4612,-0.2605
342,85.926,1.4623,-0.261
343,86.049,1.4633,-0.2615
344,86.295,1.4644,-0.2617
345,86.344,1.4655,-0.2622
346,86.541,1.4666,-0.2626
347,86.689,1.4676,-0.263
348,86.762,1.4686,-0.2634
349,87.008,1.4697,-0.2638
350,87.082,1.4708,-0.2643
351,87.254,1.4718,-0.2648
352,87.377,1.4728,-0.2654
353,87.500,1.4739,-0.2657
354,87.648,1.4749,-0.266
355,87.795,1.4760,-0.2667
356,87.943,1.4770,-0.2668
357,88.115,1.4780,-0.2675
358,88.238,1.4791,-0.2678
359,88.312,1.4801,-0.2681
360,88.459,1.4811,-0.2685
361,88.656,1.4821,-0.2688
362,88.754,1.4832,-0.2692
363,88.877,1.4842,-0.2697
364,89.025,1.4852,-0.2701
365,89.197,1.4862,-0.2704
366,89.295,1.4872,-0.271
367,89.443,1.4883,-0.2712
368,89.566,1.4893,-0.2717
369,89.664,1.4903,-0.2722
370,89.837,1.4913,-0.2725
371,89.935,1.4923,-0.2727
372,90.132,1.4933,-0.2731
373,90.181,1.4943,-0.2736
374,90.328,1.4953,-0.2739
375,90.451,1.4963,-0.2743
376,90.623,1.4973,-0.2746
377,90.722,1.4983,-0.275
378,90.869,1.4993,-0.2755
379,90.992,1.5003,-0.2759
380,91.066,1.5013,-0.2762
381,91.189,1.5023,-0.2767
382,91.337,1.5032,-0.2771
383,91.460,1.5042,-0.2773
384,91.583,1.5052,-0.2777
385,91.706,1.5062,-0.2779
386,91.804,1.5072,-0.2785
387,91.951,1.5081,-0.2788
388,92.074,1.5091,-0.2789
389,92.197,1.5101,-0.2795
390,92.296,1.5111,-0.2798
391,92.394,1.5121,-0.2804
392,92.591,1.5130,-0.2806
393,92.714,1.5140,-0.2809
394,92.788,1.5150,-0.2813
395,92.861,1.5159,-0.2816
396,92.935,1.5169,-0.282
397,93.132,1.5178,-0.2823
398,93.255,1.5188,-0.2827
399,93.304,1.5197,-0.2829
400,93.452,1.5206,-0.2832
401,93.501,1.5216,-0.2834
402,93.673,1.5226,-0.284
403,93.796,1.5235,-0.2843
404,93.919,1.5244,-0.2846
405,94.042,1.5254,-0.285
406,94.140,1.5263,-0.2853
407,94.263,1.5272,-0.2858
408,94.337,1.5282,-0.2861
409,94.558,1.5291,-0.2863
410,94.583,1.5301,-0.2866
411,94.706,1.5310,-0.2868
412,94.829,1.5319,-0.2872
413,94.927,1.5329,-0.2874
414,94.952,1.5338,-0.2877
415,95.075,1.5348,-0.288
416,95.173,1.5357,-0.2883
417,95.321,1.5366,-0.2889
418,95.419,1.5375,-0.2892
419,95.468,1.5384,-0.2895
420,95.591,1.5394,-0.29
421,95.763,1.5403,-0.2903
422,95.862,1.5412,-0.2904
423,95.960,1.5421,-0.2907
424,96.034,1.5430,-0.2908
425,96.157,1.5439,-0.2911
426,96.231,1.5448,-0.2913
427,96.304,1.5457,-0.2917
428,96.452,1.5466,-0.2919
429,96.501,1.5475,-0.2922
430,96.575,1.5484,-0.2927
431,96.747,1.5493,-0.293
432,96.772,1.5501,-0.2933
433,96.944,1.5511,-0.2938
434,96.993,1.5520,-0.2937
435,97.042,1.5529,-0.2944
436,97.116,1.5537,-0.2945
437,97.239,1.5546,-0.2946
438,97.337,1.5555,-0.2948
439,97.386,1.5564,-0.295
440,97.534,1.5573,-0.2953
441,97.608,1.5581,-0.2956
442,97.731,1.5590,-0.296
443,97.780,1.5599,-0.2961
444,97.927,1.5608,-0.2966
445,98.026,1.5617,-0.2969
446,98.100,1.5626,-0.2972
447,98.173,1.5634,-0.2976
448,98.272,1.5643,-0.2979
449,98.296,1.5652,-0.2981
450,98.395,1.5660,-0.2981
451,98.493,1.5669,-0.2985
452,98.616,1.5677,-0.2985
453,98.690,1.5686,-0.2988
454,98.739,1.5695,-0.2991
455,98.837,1.5703,-0.2995
456,98.936,1.5712,-0.2997
457,99.010,1.5720,-0.3
458,99.108,1.5729,-0.3004
459,99.157,1.5737,-0.3006
460,99.280,1.5746,-0.3009
461,99.354,1.5754,-0.3012
462,99.354,1.5762,-0.3011
463,99.477,1.5771,-0.3013
464,99.501,1.5779,-0.3016
465,99.624,1.5788,-0.3018
466,99.723,1.5796,-0.3021
467,99.772,1.5804,-0.3024
468,99.870,1.5813,-0.3025
469,99.919,1.5821,-0.3029
470,99.993,1.5830,-0.3034
471,100.092,1.5838,-0.3035
472,100.141,1.5846,-0.3037
473,100.239,1.5854,-0.304
474,100.288,1.5863,-0.3041
475,100.411,1.5871,-0.3042
476,100.460,1.5879,-0.3044
477,100.534,1.5887,-0.3046
478,100.633,1.5896,-0.3051
479,100.682,1.5904,-0.305
480,100.780,1.5912,-0.3055
481,100.805,1.5920,-0.3057
482,100.879,1.5928,-0.306
483,101.001,1.5936,-0.3062
484,101.001,1.5944,-0.3062
485,101.100,1.5952,-0.3066
486,101.124,1.5960,-0.3069
487,101.248,1.5968,-0.3069
488,101.272,1.5976,-0.3071
489,101.370,1.5984,-0.3071
490,101.346,1.5993,-0.3075
491,101.444,1.6000,-0.3077
492,101.469,1.6008,-0.308
493,101.592,1.6017,-0.3082
494,101.666,1.6024,-0.3083
495,101.739,1.6032,-0.3087
496,101.813,1.6040,-0.3088
497,101.838,1.6048,-0.309
498,101.936,1.6056,-0.3092
499,101.961,1.6064,-0.3093
500,102.034,1.6072,-0.3095
