current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.000,0.7666,-7.463e-05
2,-0.000,0.7846,-8.817e-05
3,0.025,0.7976,-0.0001011
4,-0.000,0.8086,-0.0001148
5,0.025,0.8181,-0.0001276
6,0.049,0.8262,-0.00014
7,0.025,0.8339,-0.000154
8,0.025,0.8409,-0.0001677
9,0.049,0.8473,-0.000183
10,0.049,0.8537,-0.0001994
11,0.074,0.8596,-0.0002176
12,0.074,0.8650,-0.0002371
13,0.025,0.8705,-0.0002587
14,0.074,0.8756,-0.0002834
15,0.049,0.8803,-0.0003131
16,0.197,0.8848,-0.0005847
17,0.664,0.8879,-0.001614
18,1.180,0.8908,-0.002725
19,1.623,0.8939,-0.003801
20,2.090,0.8969,-0.004897
21,2.582,0.8999,-0.005917
22,3.025,0.9030,-0.006997
23,3.492,0.9060,-0.008087
24,3.886,0.9091,-0.009108
25,4.402,0.9122,-0.01019
26,4.795,0.9152,-0.01124
27,5.238,0.9182,-0.01224
28,5.656,0.9213,-0.01328
29,6.123,0.9244,-0.01435
30,6.542,0.9274,-0.01536
31,6.910,0.9304,-0.01638
32,7.329,0.9334,-0.01742
33,7.771,0.9364,-0.01839
34,8.165,0.9394,-0.01937
35,8.583,0.9424,-0.02042
36,8.976,0.9453,-0.02141
37,9.370,0.9483,-0.02239
38,9.788,0.9512,-0.02337
39,10.181,0.9542,-0.02441
40,10.649,0.9572,-0.02539
41,10.993,0.9600,-0.02639
42,11.386,0.9630,-0.02741
43,11.804,0.9660,-0.02839
44,12.272,0.9688,-0.02937
45,12.567,0.9717,-0.03033
46,13.009,0.9746,-0.03134
47,13.452,0.9774,-0.03233
48,13.772,0.9803,-0.03327
49,14.141,0.9832,-0.03428
50,14.583,0.9860,-0.03525
51,14.977,0.9888,-0.03626
52,15.346,0.9916,-0.03722
53,15.739,0.9944,-0.03818
54,16.182,0.9972,-0.03916
55,16.526,1.0000,-0.04013
56,16.846,1.0027,-0.04107
57,17.313,1.0055,-0.04205
58,17.657,1.0082,-0.04295
59,18.051,1.0109,-0.0439
60,18.420,1.0137,-0.04487
61,18.764,1.0163,-0.04581
62,19.182,1.0190,-0.04678
63,19.551,1.0218,-0.04772
