current[mA],power[mW],voltage[V],mpd_current[mA]
1,-0.025,0.7613,-7.121e-05
2,-0.000,0.7800,-8.492e-05
3,-0.000,0.7929,-9.746e-05
4,-0.000,0.8040,-0.0001089
5,-0.025,0.8132,-0.0001223
6,-0.025,0.8211,-0.0001346
7,0.025,0.8286,-0.0001474
8,0.049,0.8352,-0.0001614
9,0.025,0.8416,-0.0001759
10,0.025,0.8476,-0.0001921
11,0.049,0.8531,-0.0002104
12,0.025,0.8582,-0.0002688
13,0.320,0.8619,-0.001229
14,0.738,0.8650,-0.002459
15,1.131,0.8680,-0.003709
16,1.525,0.8711,-0.00498
17,1.967,0.8743,-0.006247
18,2.312,0.8773,-0.007455
19,2.681,0.8803,-0.008696
20,3.123,0.8833,-0.009928
21,3.443,0.8862,-0.01116
22,3.812,0.8892,-0.01241
23,4.230,0.8922,-0.01365
24,4.599,0.8951,-0.01481
25,4.968,0.8980,-0.01604
26,5.361,0.9009,-0.01727
27,5.779,0.9037,-0.01847
28,6.099,0.9066,-0.01969
29,6.492,0.9095,-0.02093
30,6.886,0.9123,-0.02212
31,7.279,0.9151,-0.02328
32,7.673,0.9179,-0.0245
33,8.017,0.9207,-0.02568
34,8.435,0.9235,-0.02689
35,8.779,0.9262,-0.02806
36,9.148,0.9289,-0.02926
37,9.517,0.9317,-0.03044
38,9.886,0.9344,-0.03157
39,10.280,0.9370,-0.03278
40,10.624,0.9398,-0.03397
41,10.993,0.9424,-0.03512
42,11.337,0.9451,-0.03631
43,11.731,0.9478,-0.03747
44,12.173,0.9504,-0.03858
45,12.468,0.9530,-0.03978
46,12.763,0.9556,-0.04093
47,13.231,0.9581,-0.04209
48,13.575,0.9608,-0.04323
49,13.919,0.9634,-0.04438
50,14.288,0.9659,-0.04549
51,14.608,0.9684,-0.0467
52,15.026,0.9710,-0.0478
53,15.346,0.9734,-0.04892
54,15.739,0.9760,-0.05009
55,16.059,0.9785,-0.05121
56,16.428,0.9809,-0.05233
57,16.747,0.9834,-0.05345
58,17.166,0.9859,-0.05458
59,17.436,0.9884,-0.0557
60,17.854,0.9908,-0.05687
61,18.223,0.9932,-0.058
62,18.567,0.9956,-0.05906
63,18.862,0.9981,-0.06018
64,19.256,1.0005,-0.06132
65,19.625,1.0029,-0.06243
66,19.944,1.0052,-0.06353
67,20.313,1.0076,-0.06462
68,20.658,1.0099,-0.06571
69,20.977,1.0123,-0.06685
70,21.346,1.0147,-0.06793
71,21.666,1.0170,-0.06901
72,22.084,1.0193,-0.07003
73,22.355,1.0215,-0.07114
74,22.723,1.0238,-0.07218
75,23.043,1.0261,-0.07328
76,23.363,1.0283,-0.07433
77,23.732,1.0306,-0.07542
78,24.027,1.0328,-0.07644
79,24.420,1.0350,-0.07756
80,24.715,1.0373,-0.07859
81,25.035,1.0395,-0.07972
82,25.379,1.0417,-0.08077
83,25.675,1.0439,-0.08177
84,26.117,1.0461,-0.08285
