filename,lotID,SN,tempC,current,power,voltage,group_id
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.028,0,0.65697,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0285,0,0.66543,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.029,0,0.67126,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0295,0,0.67535,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.03,0,0.68117,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0305,0,0.68466,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.031,0,0.69038,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0315,0,0.69717,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.032,0,0.70761,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0325,0,0.71078,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.033,0,0.7094,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0335,0,0.71663,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.034,0,0.72546,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0345,0,0.73396,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.035,0,0.73858,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0355,0,0.74481,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.036,0,0.74817,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0365,0,0.7555,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.037,0,0.75253,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0375,0,0.76179,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.038,0,0.76011,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0385,0,0.76441,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.039,0,0.7624,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0395,0,0.76628,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.04,0,0.76955,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0405,0,0.78882,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.041,0,0.78185,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0415,0,0.78838,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.042,0,0.79014,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0425,0,0.79306,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.043,0,0.80476,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0435,0,0.79608,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.044,0,0.79702,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0445,0,0.80158,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.045,0,0.80723,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0455,0,0.81056,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.046,0,0.81734,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0465,0,0.81804,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.047,0,0.81949,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0475,0,0.8191,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.048,0,0.82577,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0485,0,0.82788,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.049,0,0.82676,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0495,0,0.83141,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.05,0,0.83491,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0505,0,0.83844,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.051,0,0.84296,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0515,0,0.84248,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.052,0,0.84477,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0525,0,0.84755,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.053,0,0.84996,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0535,0,0.85168,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.054,0,0.8528,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0545,0,0.85498,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.055,0,0.86169,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0555,0,0.87191,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.056,0,0.90993,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0565,0,0.91841,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.057,0,0.92128,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0575,0,0.92245,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.058,0,0.9273,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0585,0,0.94157,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.059,0,0.97439,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0595,0,1.0244,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.06,0,0.97377,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0605,0,1.03056,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.061,0,1.03285,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0615,0,1.03768,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.062,0,1.03921,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0625,0,1.04216,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.063,0,1.04481,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0635,0,1.04725,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.064,0,1.04881,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0645,0,1.03224,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.065,0,1.03381,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0655,0,1.0307,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.066,0,1.03939,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0665,0,1.02892,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.067,0,1.0158,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0675,0,1.03346,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.068,0,1.03734,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0685,0,1.044,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.069,0,1.04154,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0695,0,1.05014,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.07,0,1.04958,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0705,0,1.05279,27
