lotID,SN,tempC,If,wavelength,power
P11032-3,71638_20-22-40-69,50,0.05,1527,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.02,-90.95501
P11032-3,71638_20-22-40-69,50,0.05,1527.04,-83.45631
P11032-3,71638_20-22-40-69,50,0.05,1527.06,-78.18156
P11032-3,71638_20-22-40-69,50,0.05,1527.08,-78.55426
P11032-3,71638_20-22-40-69,50,0.05,1527.1,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.12,-87.06637
P11032-3,71638_20-22-40-69,50,0.05,1527.14,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.16,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.18,-82.61378
P11032-3,71638_20-22-40-69,50,0.05,1527.2,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.22,-81.67938
P11032-3,71638_20-22-40-69,50,0.05,1527.24,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.26,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.28,-88.62646
P11032-3,71638_20-22-40-69,50,0.05,1527.3,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.32,-82.19251
P11032-3,71638_20-22-40-69,50,0.05,1527.34,-78.66142
P11032-3,71638_20-22-40-69,50,0.05,1527.36,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.38,-85.70894
P11032-3,71638_20-22-40-69,50,0.05,1527.4,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.42,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.44,-81.70889
P11032-3,71638_20-22-40-69,50,0.05,1527.46,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.48,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.5,-78.97909
P11032-3,71638_20-22-40-69,50,0.05,1527.52,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.54,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.56,-97.03993
P11032-3,71638_20-22-40-69,50,0.05,1527.58,-78.61697
P11032-3,71638_20-22-40-69,50,0.05,1527.6,-82.91919
P11032-3,71638_20-22-40-69,50,0.05,1527.62,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.64,-80.11084
P11032-3,71638_20-22-40-69,50,0.05,1527.66,-76.50528
P11032-3,71638_20-22-40-69,50,0.05,1527.68,-82.74415
P11032-3,71638_20-22-40-69,50,0.05,1527.7,-80.82494
P11032-3,71638_20-22-40-69,50,0.05,1527.72,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.74,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.76,-74.75474
P11032-3,71638_20-22-40-69,50,0.05,1527.78,-82.10913
P11032-3,71638_20-22-40-69,50,0.05,1527.8,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.82,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.84,-80.81865
P11032-3,71638_20-22-40-69,50,0.05,1527.86,-84.38779
P11032-3,71638_20-22-40-69,50,0.05,1527.88,-80.41675
P11032-3,71638_20-22-40-69,50,0.05,1527.9,-81.39842
P11032-3,71638_20-22-40-69,50,0.05,1527.92,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.94,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.96,-120
P11032-3,71638_20-22-40-69,50,0.05,1527.98,-78.11634
P11032-3,71638_20-22-40-69,50,0.05,1528,-120
P11032-3,71638_20-22-40-69,50,0.05,1528.02,-82.22138
P11032-3,71638_20-22-40-69,50,0.05,1528.04,-120
P11032-3,71638_20-22-40-69,50,0.05,1528.06,-79.29593
P11032-3,71638_20-22-40-69,50,0.05,1528.08,-84.40572
P11032-3,71638_20-22-40-69,50,0.05,1528.1,-120
P11032-3,71638_20-22-40-69,50,0.05,1528.12,-81.46606
P11032-3,71638_20-22-40-69,50,0.05,1528.14,-86.91863
