FixtureName,Position,SN,InsertDateRounded,Burn In,tempC,current,pd_current,voltage
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.015210000000000001,2.164e-5,1.032
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.015394,2.2408e-5,1.034
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.015639,2.3175999999999996e-5,1.035
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.015884000000000002,2.3934e-5,1.037
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.016129,2.4686e-5,1.038
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.016374,2.5433e-5,1.039
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.016619000000000002,2.6186e-5,1.041
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.016925000000000003,2.6943e-5,1.042
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.01717,2.7706e-5,1.044
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.017353,2.8463e-5,1.045
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.017658999999999998,2.9221e-5,1.047
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.017904,2.9983e-5,1.048
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.018149000000000002,3.0751e-5,1.049
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.018393999999999997,3.1514e-5,1.051
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.018639,3.2276e-5,1.052
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.018884,3.3044e-5,1.054
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.019129,3.3817e-5,1.055
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.019313,3.4585e-5,1.057
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.019619,3.5347e-5,1.058
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.019802,3.611e-5,1.059
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.020109000000000002,3.6878e-5,1.061
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.020292,3.7640999999999994e-5,1.062
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.020597999999999998,3.8398e-5,1.063
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.020843,3.9149999999999996e-5,1.065
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.021088000000000003,3.9908e-5,1.066
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.021332999999999998,4.0671e-5,1.068
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.021517,4.1428e-5,1.069
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.021762,4.2180999999999995e-5,1.07
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.022068,4.2938e-5,1.072
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.022313,4.3701e-5,1.073
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.022558,4.4457999999999993e-5,1.074
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.022741,4.5211e-5,1.075
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.022925,4.5963e-5,1.076
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.023231,4.6720999999999995e-5,1.078
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.023537,4.748299999999999e-5,1.079
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.023721,4.8240999999999994e-5,1.081
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.024027000000000003,4.8993e-5,1.082
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.024272,4.9751e-5,1.084
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.024517,5.0512999999999996e-5,1.085
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.024762,5.1271e-5,1.086
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.025007,5.2023e-5,1.088
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.025252,5.2780999999999995e-5,1.089
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.025497,5.3543e-5,1.09
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.02568,5.4310999999999996e-5,1.091
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.025986000000000002,5.5073999999999995e-5,1.093
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.026231,5.5831e-5,1.094
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.026415,5.6594e-5,1.095
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.02666,5.7362e-5,1.096
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.026966,5.8124e-5,1.098
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.02715,5.8881999999999996e-5,1.099
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.027456,5.9643999999999993e-5,1.101
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.027762000000000002,6.0412e-5,1.102
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.027946000000000002,6.1175e-5,1.103
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.028191,6.1932e-5,1.105
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.028497,6.2685e-5,1.106
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.028742,6.3437e-5,1.107
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.028986,6.419499999999999e-5,1.109
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.029231000000000004,6.494199999999999e-5,1.11
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.029476,6.568399999999999e-5,1.111
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.029721,6.6426e-5,1.112
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.029905,6.7168e-5,1.113
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.03015,6.79e-5,1.115
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.030395000000000002,6.8622e-5,1.116
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.030578,6.9339e-5,1.118
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.030823,7.0055e-5,1.119
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.031129,7.0772e-5,1.12
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.031313,7.148799999999999e-5,1.121
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.031558,7.2195e-5,1.122
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.031864,7.2906e-5,1.123
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.032109000000000006,7.361199999999999e-5,1.125
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.032354,7.4319e-5,1.126
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.032659999999999995,7.502500000000001e-5,1.127
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.032905000000000004,7.5737e-5,1.129
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.03315,7.6453e-5,1.129
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.033395,7.717499999999999e-5,1.13
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.03364,7.7897e-5,1.132
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.033885,7.861799999999998e-5,1.133
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.03413,7.934e-5,1.135
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.034374,8.006699999999999e-5,1.136
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.034619000000000004,8.0794e-5,1.137
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.034864,8.1525e-5,1.137
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.035109,8.2257e-5,1.139
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.035354,8.2989e-5,1.14
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.035599,8.3721e-5,1.141
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.035844,8.4453e-5,1.142
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.036028,8.5185e-5,1.143
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.036334000000000005,8.5912e-5,1.145
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.036579,8.6634e-5,1.146
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.036762,8.7355e-5,1.147
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.037007,8.807699999999999e-5,1.148
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.037313000000000006,8.8799e-5,1.149
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.037558,8.952500000000001e-5,1.151
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.037802999999999996,9.025199999999999e-5,1.152
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.037987,9.0979e-5,1.153
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.038293,9.170599999999999e-5,1.155
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.038477,9.2433e-5,1.156
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.038783000000000005,9.315900000000001e-5,1.157
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.039028,9.3891e-5,1.158
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.039273,9.4634e-5,1.159
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.039518000000000005,9.5376e-5,1.16
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.039762,9.611799999999999e-5,1.161
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.040007,9.685999999999999e-5,1.162
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.040252,9.7592e-5,1.163
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.040558000000000004,9.831899999999999e-5,1.165
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.040742,9.904099999999999e-5,1.166
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.040926000000000004,9.9757e-5,1.167
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.041171,1.00474e-4,1.169
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.041415999999999994,1.0119e-4,1.17
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.041722,1.01907e-4,1.171
