FixtureName,Position,XP,InsertDateRounded,current,voltage,pd_current,tempC,soak,SN
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.009263,0.997,9.341e-6,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.009446999999999999,0.999,1.0464e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.009753,1.001,1.1619e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.009936,1.003,1.2788e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.010242000000000001,1.005,1.3962999999999998e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.010487,1.008,1.5143e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.010731000000000001,1.01,1.6338000000000002e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.010976000000000001,1.012,1.7548e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.011221,1.014,1.8768999999999996e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.011404000000000001,1.016,1.9999e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.011649,1.018,2.1239999999999997e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.011955,1.021,2.2492e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.012199999999999999,1.022,2.3752999999999998e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.012444000000000002,1.024,2.5013999999999998e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.012689,1.027,2.6286e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.012934,1.029,2.7568e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.013178,1.031,2.885e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.013423000000000001,1.032,3.0132e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.013668,1.035,3.1409e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.013912,1.037,3.268e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.014157000000000001,1.039,3.3947e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.014402,1.041,3.5208e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.014585,1.042,3.6465000000000004e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.014891,1.045,3.7715999999999996e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.015075,1.046,3.8972e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.015319000000000001,1.049,4.0228e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.015625,1.051,4.1485e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.01587,1.052,4.2746e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.015992000000000003,1.055,4.4003e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.016359000000000002,1.056,4.5264e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.016604,1.058,4.6531e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.016848,1.06,4.7802e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.017032000000000002,1.062,4.9078999999999995e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.017338000000000003,1.063,5.0360999999999994e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.017582999999999998,1.066,5.1652999999999995e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.017827000000000003,1.068,5.2944999999999995e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.018072,1.069,5.4237e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.018317,1.072,5.5529e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.018561,1.073,5.6821e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.018806,1.075,5.8119e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.019051,1.077,5.9415999999999995e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.019295000000000003,1.079,6.0713e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.01954,1.08,6.201e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.019723,1.082,6.3307e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.019968,1.084,6.4605e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.020213000000000002,1.086,6.5892e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.020458,1.087,6.7173e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.020702,1.089,6.8455e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.020947,1.091,6.9732e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.021192,1.093,7.1004e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.021497,1.094,7.227500000000001e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.021681000000000002,1.097,7.354699999999999e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.021987,1.098,7.4819e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.022170000000000002,1.1,7.609e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.022415,1.102,7.7362e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.02266,1.103,7.863399999999999e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.022904,1.105,7.9911e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.023149000000000003,1.107,8.119199999999999e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.023393999999999998,1.108,8.246899999999999e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.023638000000000003,1.11,8.3751e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.023882999999999998,1.112,8.5038e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.024067,1.113,8.631999999999999e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.024372,1.116,8.7597e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.024556,1.117,8.886799999999999e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.024801,1.119,9.0135e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.025106000000000003,1.121,9.139599999999999e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.025351,1.122,9.2653e-5,40,0,HL13B5CP00_L2-52-AD-Qb
